Provider_Name,Address,City,County,"Doses_W14"
Houston Methodist Hospital,,6565 Fannin St,Houston,-
Memorial Hermann Memorial City Medical Center,,921 Gessner Rd,Houston,-
NRG Center,,One NRG Park,Houston,"4,400"
School Of Nursing - Main Building,,1851 Crosspoint Ave.,Houston,-
Lhd Hays County Health Department (Re),,401 Broadway St Ste A,San Marcos,-
DHR Health,,5501 South McColl Road,Edinburg,-
Lhd Hidalgo County Health Department (Re),,1304 S 25th Ave,Edinburg,-
Ut Health Rgv Employee Health Edinburg,,1210 W Schunior St,Edinburg,-
Jefferson County Immunization Clinic,,7933 Viterbo Rd Ste 100,Beaumont,-
Christus Spohn Health System Alice,,2500 E Main St,Alice,-
Cleburne Fire Department,,114 W WARDVILLE ST,Cleburne,-
Christus Spohn Health System Kleberg,,1311 General Cavazos Blvd,Kingsville,-
Kleberg County Sheriff's Office,,1500 E King Ave,Kingsville,-
La Salle County Regional Health Authority,,247 Mars Drive,Cotulla,-
Lhd Paris-Lamar Co Health Dept (Re),,400 W Sherman St,Paris,-
"Emergency Hospital Systems, LLC",,300 E Crockett,Cleveland,-
Lhd Lubbock City Health Dept (Re),,806 18th St,Lubbock,-
Eagle Pass Fire Department,,2558 El Indio Hwy,Eagle Pass,-
Lhd Waco-Mclennan Co Phealth Dist (Re),,225 W Waco Dr,Waco,-
Providence Health - Providence Health Center,,6901 Medical Pkwy,Waco,-
Midland Memorial Hospital,,400 Rosalind Redfern Grover Pkwy,Midland,-
CHI ST LUKES HEALTH WOODLANDS HOSP,,17200 ST LUKES WAY,Conroe,-
Lone Star Family Health Center,,605 S. Conroe Medical Dr,Conroe,-
LHD Corsicana-Navarro Public Health District (RE),,618 N Main,Corsicana,-
Driscoll Health System,,3533 S ALAMEDA ST,Corpus Christi,-
LHD Corpus Christi-Nueces County Public Health District (RE) 1702 Horne Road,,,Corpus Christi,-
Parker County Hospital District,,1130 Pecan Dr,Weatherford,-
LHD Amarillo DOH,,1000 Martin Rd,Amarillo,-
Pecos Valley Rural Health Clinic,,2335 S Pigman St,Pecos,-
Lhd Nethealth (Re),,815 N Broadway Ave,Tyler,-
UT Health Science Center Tyler,,11937 Us Highway 271,Tyler,-
ATT Stadium Vx Arlington FD,,620 W Division St.,Arlington,"2,200"
Tarrant Co Ph Imm Outreach,,1101 S Main St Ste 1350,Fort Worth,-
Texas Health Medical Support,,1100 BRIDGEWOOD DR STE 107,Fort Worth,-
Lhd Abilene-Taylor County Health Department (Re),,850 N 6th St,Abilene,-
Shannon Pharmacy,,119 E. Beauregard Ave,San Angelo,-
Austin Public Health,,15 Waller Street,Austin,-
Ut Health Austin (Dell Medical School),,1601 TRINITY ST STOP Z0200,Austin,-
Uvalde Memorial Hospital,,1025 Garner Field Rd.,Uvalde,-
LHD Victoria City-CO Health Dept (RE),,2805 N NAVARRO ST # 102,Victoria,-
Washington County Ems,,1875 Highway 290 W,Brenham,-
City Of Laredo Health Department,,2600 Cedar Ave,Laredo,-
Family Emergency Rooms Cedar Park,,3620 E. WHITESTONE BLVD.,Cedar Park,-
Brookshires Pharmacy 030,2107 S Loop 256,Palestine,ANDERSON,
Palestine Regional Medical Center,2900 S Loop 256,Palestine,ANDERSON,
Lhd Andrews City-County Health Department (Re),208 Nw 2nd St,Andrews,ANDREWS,
Oceans Behavioral Health - Lufkin,302 Gobblers Knob Road,Lufkin,ANGELINA,
Heb Pharmacy 562,1409 Highway 35 N,Rockport,ARANSAS,
Walgreens Pharmacy 09205,1309 Highway 35 N,Rockport,ARANSAS,100
DSHS Archer City,511 S. Cedar,Archer City,ARCHER,100
Atascosa County EMS,915 Main St,Jourdanton,ATASCOSA,300
Bellville Medical Center,44 N. Cummings St.,Bellville,AUSTIN,100
Brookshires Pharmacy 39 - Bellville,720 S Front St,Bellville,AUSTIN,100
Medical Clinics Of Sealy,1036 N Circle Dr,Sealy,AUSTIN,200
Bandera Family Practice,1050 State Highway 16 S,Bandera,BANDERA,100
Medina Lake Clinic,146 Laurel Vista Dr,Pipe Creek,BANDERA,100
BMA of Texas,423 Old Austin Highway,Bastrop,BASTROP,100
Brookshires Pharmacy 69 - Salado,215 Mill Creek Dr,Salado,BELL,100
Ascension Medical Group Texas-Temple Pedi,1905 S.W H K Dodgen Loop,Temple,BELL,100
Canyon Creek Behavioral Health,1201 Canyon Creek Drive,Temple,BELL,100
Community Clinic At Santa Fe,600 S 25th St,Temple,BELL,100
DSHSHSR 7 HQ - Temple (RE),2408 South 37th Street,Temple,BELL,"2,000"
Broadway Kidney Disease Center,8840 Tradeway St,San Antonio,BEXAR,100
Carvajal Pharmacy - San Antonio - 3410 Roosevelt Ave,3410 Roosevelt Ave,San Antonio,BEXAR,200
Davila Pharmacy,1423 Guadalupe,San Antonio,BEXAR,200
Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,San Antonio,BEXAR,"2,000"
Guiding Light Hospice Inc,3218 Nacogdoches Road,San Antonio,BEXAR,200
San Antonio Behavorial Healthcare Hospital,8550 Huebner Road,San Antonio,BEXAR,200
Start Center For Cancer Care,4383 Medical Drive,San Antonio,BEXAR,500
Texas Center For Infectious Disease,2303 Se Military Dr,San Antonio,BEXAR,400
WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONI5010 MEDICAL DR,,San Antonio,BEXAR,200
WARM SPRINGS SPECIALTY HOSPITAL OF SAN ANTONIO,5418 N LOOP 1604 W,San Antonio,BEXAR,100
Warm Springs Specialty Hospital of Thousand Oaks,14747 Jones Maltsberger Road,San Antonio,BEXAR,100
Wellmed Ingram,6157 NW Loop 410,San Antonio,BEXAR,"9,000"
Blanco Pharmacy & Wellness,316 Pecan St.,Blanco,BLANCO,100
Pill Box Drive-In Pharmacy Inc,210 Posey Ave,Clifton,BOSQUE,100
Brookshires Pharmacy 72,210 N Mccoy Blvd,New Boston,BOWIE,100
Super 1 Pharmacy 618,2610 Richmond Rd,Texarkana,BOWIE,100
Adoue Community Health Network,1111 W ADOUE ST,Alvin,BRAZORIA,500
BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA,500
Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA,500
Utmb-Angleton Danbury Campus,132 E Hospital Dr,Angleton,BRAZORIA,"3,510"
Brazoria County Health Department-Lake Jackson,202 Peach St,Lake Jackson,BRAZORIA,500
CHI St.Lukes Health Brazosport,"100, Medical Drive",Lake Jackson,BRAZORIA,400
"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,Pearland,BRAZORIA,500
Brazos County Health And Wellness,300 E Wm J Bryan Pkwy Ste 200,Bryan,BRAZOS,100
Chi St Joseph Primary Austins Colony,2410 Boonville Rd,Bryan,BRAZOS,100
Health Point Bcs,3370 S Texas Ave,Bryan,BRAZOS,100
Healthpoint Memorial,1301 Memorial Drive,Bryan,BRAZOS,100
Lhd Brazos County Health District (Re),201 N Texas Ave,Bryan,BRAZOS,200
Healthpoint Abc,1602 Rock Prairie Rd,College Station,BRAZOS,100
Dshs Phr 9/10 Alpine,205 N Cockrell St,Alpine,BREWSTER,100
Family Health Services Of Alpine,1605 N STATE HIGHWAY 118 STE B,Alpine,BREWSTER,200
Lhd Brownwood-Brown County Health Department (Re),510 E Lee St,Brownwood,BROWN,400
Brookshires Pharmacy 44,455 Hwy 36 N,Caldwell,BURLESON,100
Health Point Clinic Caldwell,1103 Woodson Dr,Caldwell,BURLESON,100
Seton Highland Lakes Burnet Clinic,200 John W Hoover Pkwy,Burnet,BURNET,500
"ATKINS PHARMACY SERVICES, INC.",701 THIRD ST,Marble Falls,BURNET,100
Lscc Family Care Center At Marble Falls,802 Avenue J,Marble Falls,BURNET,100
Heb Pharmacy 445,403 S Colorado St,Lockhart,CALDWELL,100
Seton Family Of Doctors Lockhart Family Practice,300 S Commerce St Ste Brural,Lockhart,CALDWELL,100
Seton Family Of Doctors Lockhart Internal Medicine,209 S Church St Ste B,Lockhart,CALDWELL,100
Walgreens Pharmacy 11131,200 S Colorado St,Lockhart,CALDWELL,100
"DIsmukesRx, LLC",511 East Davis Street,Luling,CALDWELL,100
Memorial Medical Clinic - Port Lavaca,1016 N. Virgnia,Port Lavaca,CALHOUN,100
Port Lavaca Clinic Associates P.A.,1200 N Virginia St,Port Lavaca,CALHOUN,100
United Pharmacy 578,505 S Access Rd W,Clyde,CALLAHAN,200
DSHS Harlingen (RE),601 W.SESAME DRIVE,Harlingen,CAMERON,"2,000"
Garcia's Pharmacy LLC,101 S Stuart Place Rd,Harlingen,CAMERON,100
Ut Health Pittsburg Hospital,2701 Us Highway 271 N,Pittsburg,CAMP,100
Panhandle Family Care Llc,102 Us Highway 60,Panhandle,CARSON,200
Christus St. Michael Hospital - Atlanta,1007 S William St,Atlanta,CASS,300
East Texas Border Health Clinic dba Genesis PrimeCare - Atlan1011 S William Street,,Atlanta,CASS,300
Medical Center Of Dimmitt,300 W Halsell St,Dimmitt,CASTRO,200
Brookshires Pharmacy 1002,204 Broadway,Winnie,CHAMBERS,100
Family Circle Of Care- Jacksonville,510 E Commerce St,Jacksonville,CHEROKEE,100
Ut Health Jacksonville Hospital,501 S Ragsdale St,Jacksonville,CHEROKEE,100
Chapman Pharmacy,108 E 5th St,Rusk,CHEROKEE,100
Coleman Medical Associates,310 S Pecos St Fl 2,Coleman,COLEMAN,200
Mckinney Isd,1 Duvall St,McKinney,COLLIN,500
Accel Rehabilitation Hospital,2301 Marsh Lane,Plano,Collin,100
Columbus Community Hospital - Columbus 2,110 Shult Drive,Columbus,COLORADO,100
Eagle Lake Drugstore,702 S McCarty Avenue,Eagle Lake,COLORADO,100
"Spring Branch Pharmacy, Llc",17130 State Highway 46 W,Spring Branch,COMAL,100
Comanche County Medical Center,10201 Highway 16,Comanche,COMANCHE,100
DSHS Gainesville,1714 Justice Center Blvd,Gainesville,COOKE,100
North Texas Medical Center,1900 Hospital Blvd,Gainesville,COOKE,"1,000"
Texas Department of Criminal Justice Hilltop,1500 State School Rd.,Gatesville,CORYELL,100
"METDALSPI, LLC, d/b/a Methodist Hospital for Surgery",17101 Dallas Parkway,Addison,DALLAS,200
Healing Hands Ministries,8515 Greenville Ave Ste N-112,Dallas,DALLAS,100
Kroger Pharmacy 511,10677 E. Northwest Hwy,Dallas,DALLAS,200
Los Barrios Unidos Community Clinic,4732 W. Illinois Ave.,Dallas,DALLAS,300
Los Barrios Unidos Community Clinic - Dallas 1,809 Singleton Blvd,Dallas,DALLAS,300
Los Barrios Unidos Community Clinic - Dallas 2,3111 Sylvan Ave,Dallas,DALLAS,300
"Martin Luther King Jr Family Clinic, Inc",2922B Martin Luther King Jr Blvd,Dallas,DALLAS,200
Methodist Dallas Medical Center,1441 N Beckley Ave,Dallas,DALLAS,"3,510"
Prism Health North Texas South Dallas Health Center,4922 Spring Ave,Dallas,DALLAS,100
Dallas Behavioral Healthcare Hospital,800 Kirnwood Dr,Desoto,DALLAS,200
Tom Thumb Pharmacy 3563,633 W Wheatland Rd,Duncanville,DALLAS,200
Agrace Pharma,721 W Tarrant Rd,Grand Prairie,DALLAS,100
Grand Prairie Fire Department,"1525 arkansas ln, 3rd floor",Grand Prairie,DALLAS,500
Tom Thumb Pharmacy 1786,4215 S Carrier Pkwy,Grand Prairie,DALLAS,200
Gibson Pharmacy,815 N OCONNOR RD,Irving,DALLAS,100
Lamesa Primary Clinic,1502 N Avenue K,Lamesa,DAWSON,100
DSHS Hereford,600 N 25 Mile Ave Ste 500,Hereford,DEAF SMITH,100
Regence Health Network Inc Hereford,125 W Park Ave,Hereford,DEAF SMITH,100
Kroger Pharmacy 460,4038 Old Denton Rd,Carrollton,DENTON,100
Health Services Of North Texas,4304 Mesa Dr,Denton,DENTON,300
University Behavioral Health Denton,2026 W. University Drive,Denton,DENTON,200
Frisco Apothecary Lp,3010 Legacy Dr.,Frisco,DENTON,100
Cuero-Dewitt County Health Department,115 N Gonzales St Ste B,Cuero,DEWITT,200
Texas Department of Criminal Justice Stevenson,1525 FM 766,Cuero,DEWITT,100
Benavides ISD,106 School Street,Benavides,DUVAL,500
Eastland Health Clinic,711 W Main st,Eastland,EASTLAND,100
Eastland Memorial Hospital,Po Box 897,Eastland,EASTLAND,100
Love Oak Pharmacy,805 West Main Street,Eastland,EASTLAND,100
Centro De Salud Familiar La Fe West Way,1713 Banker Rd,Canutillo,EL PASO,200
Centro De Salud Familiar La Fe Inc/Adult Satellite Clinic,823 E Yandell Dr,El Paso,EL PASO,100
Centro De Salud Familiar Lafe,700 S Ochoa St,El Paso,EL PASO,200
Centro San Vicente - El Paso,8061 Alameda Ave,El Paso,EL PASO,500
Child And Adolescent Wellness Center - El Paso - 721 S Ochoa721 S Ochoa St,,El Paso,EL PASO,100
Comprehensive Care Center,300 Vocational Dr,El Paso,EL PASO,"1,500"
Dshs Phr 9 /10 Hq - El Paso (Re),401 E Franklin Ave Ste 210,El Paso,EL PASO,"2,000"
Life Ambulance Service Inc.,5720 Trowbridge Dr,El Paso,EL PASO,300
Northeast Family Practice,4875 Maxwell Ave.,El Paso,EL PASO,100
Premier Specialty Hospital,2311 N. Oregon St,El Paso,EL PASO,100
Texas Department of Criminal Justice SANCHEZ,3901 State Jail Road,El Paso,EL PASO,100
The Hospitals of Providence Memorial Campus,2001 N Oregon St,El Paso,EL PASO,"1,170"
The University of Texas at El Paso,500 W. University Ave,El Paso,EL PASO,"1,170"
University Behavioral Health Of El Paso,1900 Denver Ave,El Paso,EL PASO,100
Centro De Salud Familiar La Fe,12101 Socorro Rd.,San Elizario,EL PASO,100
Brookshires Pharmacy 69,1400 E Main St,Midlothian,ELLIS,100
Red Oak Drug,106 East Ovilla Road,Red Oak,ELLIS,100
Hope Clinic - Waxahachie,411 E Jefferson St Bldg B,Waxahachie,ELLIS,100
The Prescription Shop,120 S Grand Ave,Waxahachie,ELLIS,100
Erath County EMS,830 B East Rd,Stephenville,ERATH,"1,000"
Texas Department of Criminal Justice Marlin,2893 State Highway 6,Marlin,FALLS,100
Carevide Bonham,920 N Center St,Bonham,FANNIN,100
Tejas Healthcare Clinic,890 E Travis St,La Grange,FAYETTE,200
Cogdell Rural Health Clinic,320 N Main St,Lockney,FLOYD,100
Ibn Sina Foundation Community Clinic,16345 S Post Oak Rd,Houston,FORT BEND,100
Kelsey-Seybold Clinic Sienna Plantation,7010 Highway 6,Missouri City,FORT BEND,100
Fort Bend Family Health Center Access Health,400 Austin St,Richmond,FORT BEND,100
Kelsey Seybold Clinic-Katy,22121 Fm 1093 Rd,Richmond,FORT BEND,100
Texas Department of Criminal Justice Vance,2 Jester Rd.,Richmond,FORT BEND,100
ALPHINA INC,12946 dairy ashford rd,Sugar Land,FORT BEND,100
Brookshires Pharmacy 58,306 State Hwy 37 South,Mount Vernon,FRANKLIN,200
Brookshires Pharmacy 10,300 W Us Highway 84,Fairfield,FREESTONE,100
Freestone Medical Center DBA Freestone Health Clinic,734 W Commerce St,Fairfield,FREESTONE,100
Jose I Sosa Md,151 Medical Dr,Pearsall,FRIO,200
Seminole Memorial Hospital,209 Nw 8th St,Seminole,GAINES,200
Bay Colony Pediatrics,2251 Fm 646 Rd W,Dickinson,GALVESTON,300
Gator Hope Clinic,3800 Baker Dr,Dickinson,GALVESTON,300
Ball Teen Health Center,4115 Avenue O Ste 1016,Galveston,GALVESTON,100
Collegiate Academy Teen Health Center,7100 Stewart Rd Rm 177b,Galveston,GALVESTON,100
Dshs Goliad,329 W. Franklin,Goliad,GOLIAD,300
Memorial Hospital - Gonzales,Po Box 587,Gonzales,GONZALES,100
Sievers Medical Clinic,1110 Sarah DeWitt Dr.,Gonzales,GONZALES,100
Dshs Pampa,121 S Gillespie St,Pampa,GRAY,100
Pampa Medical Group,3023 Perryton Parkway,Pampa,GRAY,100
"Bullard Drug, Inc",1926 W MORTON ST,Denison,GRAYSON,200
Texoma Medical Center- Hospital Patients,5016 S Us Highway 75,Denison,GRAYSON,"1,170"
Grayson County Health Department-Sherman,515 North Walnut St.,Sherman,Grayson,500
Texoma Hospital Partners LLC,1810 US Hwy 82 West,Sherman,GRAYSON,200
Axtells Rite-Value Pharmacy Inc.,304 1/2 Charlie St,Whitesboro,GRAYSON,200
Brookshires Pharmacy 6,309 N La Salle St,Navasota,GRIMES,200
Healthpoint Navasota,1905 Dove Crossing Ln Ste C,Navasota,GRIMES,100
Texas Department of Criminal Justice Pack 1,2400 Wallace Pack Road,Navasota,GRIMES,100
City of Schertz EMS,1400 Schertz Parkway,Schertz,GUADALUPE,"1,170"
Kellum Family Medicine,3401 Fm 3009,Schertz,GUADALUPE,"1,000"
PETERSBURG ISD,1411 W. 4th,Petersburg,HALE,100
Lhd Plainview-Hale Co Health Dist (Re),111 E 10th St,Plainview,HALE,500
Regence Health Network - Plainview,2601 Dimmitt Rd Ste 104b,Plainview,HALE,100
Brookshires Pharmacy 84 - Hamilton,1004 E Main St,Hamilton,HAMILTON,100
Hardeman County Clinic,404 Mercer St,Quanah,HARDEMAN,100
Brookshires Pharmacy 59 - Sour Lake,295 Highway 105 E,Sour Lake,HARDIN,100
St Hope Foundation Inc,6800 West Loop S Ste 560,Bellaire,HARRIS,300
"Deer Park Family Clinic, P.A.",2910 Center St,Deer Park,HARRIS,300
Galena Park Medical Clinic,2124 Clinton Dr,Galena Park,HARRIS,500
Avenue 360 Health And Wellness South Central,4405 Griggs Rd,Houston,HARRIS,100
Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,Houston,HARRIS,"2,340"
Ben Taub General Hospital,1504 Taub Loop,Houston,HARRIS,"8,190"
Casa El Buen Samaritano,14060 Dublin St,Houston,Harris,400
COH Northside Health Center,8523 N Arkansas St,Houston,HARRIS,600
Dshs Hsr 6/5s Hq - Houston (Re),5425 Polk St Ste 420,Houston,HARRIS,"2,000"
El Centro De Corazon Magnolia Clinic,7037 Capitol St,Houston,HARRIS,200
Fresenius Medical Care Beamer,12727 Beamer Rd,Houston,HARRIS,200
HealthQuest Infusion Services,1311 W. Sam Houston Pkwy N.,Houston,HARRIS,300
Hope Clinic Aldine,3000 Aldine Mail Route Rd,Houston,HARRIS,100
Houston Area Community Services,2150 W 18th St Ste 300,Houston,HARRIS,100
Kelsey-Seybold Main Campus,2727 West Holcombe Blvd,Houston,HARRIS,200
La Nueva Casa De Amigos Health Center,1809 N Main St,Houston,HARRIS,600
Lbj Hospital - Harris County Hospital District,5656 Kelley St,Houston,HARRIS,"7,020"
Lone Star Circle Of Care At The University Of Houston,4849 Calhoun Road,Houston,HARRIS,100
Mlk Health Center - Houston,3550 Swingle Rd,Houston,HARRIS,200
Sharpstown Health Services,6201 Bonhomme Rd Ste 300S,Houston,HARRIS,600
St Hope Foundation,255 Northpoint Dr Ste 200,Houston,HARRIS,200
St Joseph Medical Center,1401 St Joseph Pkwy,Houston,HARRIS,"2,000"
Sunnyside Health Center,4605 Wilmington St,Houston,HARRIS,600
United Memorial Medical Center,510 West Tidwell Road,Houston,HARRIS,800
UT MD Anderson Cancer Center,1515 Holcombe Blvd,Houston,HARRIS,"1,170"
Avenue 360 Health And Wellness Humble,9816 Memorial Blvd Ste 120,Humble,HARRIS,100
Texas Department of Criminal Justice Lynchner,2350 Atascocita Rd.,Humble,HARRIS,100
Texas Vaccine Institute,21811 Katy Fwy Ste D102,Katy,HARRIS,"4,680"
Laporte RapidCare ER LLC,1220 W FAIRMONT PKWY,La Porte,HARRIS,200
Global Health,7720 Spencer Highway,Pasadena,HARRIS,100
HCA Houston Healthcare Clear Lake,500 Medical Center Blvd,Webster,HARRIS,200
University Of Texas Medical Branch - Clear Lake,200 BLOSSOM ST,Webster,HARRIS,"1,170"
Brookshires Pharmacy 130,590 W Main St,Hallsville,HARRISON,100
Christus Good Shepherd Medical Center Marshall,811 S Washington Ave,Marshall,HARRISON,200
East Texas Border Health Clinic dbs Genesis PrimeCare - Mars 805 Lindsey Drive,,Marshall,HARRISON,200
Super 1 Pharmacy 631,207 E End Blvd N,Marshall,HARRISON,100
Haskell Memorial Hospital Clinic,1400 S 1st St,Haskell,HASKELL,100
Ascension Seton Health Center Buda,5235 Overpass Rd,Buda,HAYS,100
BioMedical Applications of Texas Inc,5895 Kyle Parkway,Kyle,HAYS,100
Satellite Healthcare Kyle,134 Elmhurst,Kyle,HAYS,100
Texas Department of Criminal Justice Kyle,23001 INTERSTATE 35,Kyle,HAYS,100
San Marcos High,2601 Rattler Rd,San Marcos,HAYS,500
Canadian Family Physicians,1010 South 4th,Canadian,HEMPHILL,100
Brookshire's Pharmacy 011,807 E Tyler St,Athens,HENDERSON,100
Family Circle Of Care Athens,1001 N Palestine St,Athens,HENDERSON,300
Brookshires Pharmacy 84,703 HWY 31 E,Chandler,HENDERSON,100
Brookshires Pharmacy 68,210 S Seven Points Dr,Kemp,HENDERSON,100
Brookshires Pharmacy 064,1200 S 3rd St,Mabank,HENDERSON,100
Nuestra Clinica Del Valle - Alton,201 S Los Ebanos Rd,Alton,HIDALGO,100
Nuestra Clinica Del Valle - Donna,105 S 10th St,Donna,HIDALGO,100
Nuestra Clinica Del Valle - Edcouch,1518 Santa Rosa Ave,Edcouch,HIDALGO,100
Edinburg CISD Health Services Department,411 N 8th Ave,Edinburg,HIDALGO,"2,000"
Edinburg CISD School Based Health Center,1601 E Sprague St,Edinburg,HIDALGO,500
Nuestra Clinica Del Valle - Edinburg,301 N 87th St,Edinburg,HIDALGO,200
Texas Oncology Cancer Center Mcallen,1901 S 2nd St,McAllen,HIDALGO,400
Nuestra Clinica Del Valle - Mercedes,1500 W 1st St,Mercedes,HIDALGO,100
Nuestra Clinica Del Valle - Mission,611 N Bryan Rd,Mission,HIDALGO,100
Pharr-San Juan-Alamo ISD,601 E Kelly Ave,Pharr,HIDALGO,"2,000"
PSJA Employee Health Clinic,201 S. Gumwood St.,Pharr,HIDALGO,500
Brookshires Pharmacy 53,120 S Waco St,Hillsboro,HILL,100
Hill Regional Hospital,101 Circle Dr,Hillsboro,HILL,100
Brookshires Pharmacy 036,1310 N Brazos St,Whitney,HILL,100
Family Medicine East Clinic,116 John Dupre Drive,Levelland,HOCKLEY,100
Levelland Clinic North,103 John Dupree Dr,Levelland,HOCKLEY,100
United Pharmacy 509,511 College Ave,Levelland,HOCKLEY,100
DSHS Granbury,214 N Travis St,Granbury,HOOD,100
Granbury Hood County EMS Inc,2200 Commercial Ln,Granbury,HOOD,"1,500"
Brookshire's Pharmacy 013,809 Gilmer Rd.,Sulphur Springs,HOPKINS,100
Christus Mother Frances Hospital - Sulphur Springs,115 Airport Rd,Sulphur Springs,HOPKINS,300
Crockett Clinic,1122 E Loop 304,Crockett,HOUSTON,100
Davy Crockett Drug Inc,107 S 4th St,Crockett,HOUSTON,100
Houston County Family Medical Clinic,1501 E Loop 304 Ste 50,Crockett,HOUSTON,100
Howard County Community Health Center,1300 S Gregg St,Big Spring,HOWARD,100
Brookshires Pharmacy 52,1603 Culver St,Commerce,HUNT,100
Brookshires Pharmacy 74,6410 Wesley St,Greenville,HUNT,100
Super 1 Pharmacy 615,4811 Wesley St,Greenville,HUNT,100
Brookshires Pharmacy 87,8929 State Highway 34 S,Quinlan,HUNT,100
"Borger Pharmacy, LLC",524 W. 10th,Borger,HUTCHINSON,100
Golden Plains Community Hospital,100 Medical Dr.,Borger,HUTCHINSON,100
EDNA PHARMACY LLC,604 N WELLS ST,Edna,JACKSON,100
Rogers Pharmacy #6,"1013 S Wells St,",Edna,JACKSON,100
Brookshire Brothers Pharmacy #64,34692 Us Highway 96 S,Buna,JASPER,100
Burleson Public Health Authority,828 SW Alsbury Blvd,Burleson,JOHNSON,"1,100"
DSHS Cleburne,108 E Kilpatrick St,Cleburne,JOHNSON,100
DSHS Anson,2062 Us Hwy 277 North,Anson,JONES,100
Karnes Community Health Center,757 S PANNA MARIA,Karnes City,KARNES,100
Forney Isd Hq,600 S Bois D Arc St,Forney,KAUFMAN,200
