Provider_Name,Address,City,County,Doses_W7
Ut Health Rgv Multispecialty,2106 Treasure Hills Blvd Ste 1.326,Harlingen,CAMERON,100
Chapman Pharmacy,108 E 5th St,Rusk,CHEROKEE,300
Columbus Community Hospital - Columbus 2,110 Shult Drive,Columbus,COLORADO,1000
Comal County Public Health Office (Re),1297 Church Hill Drive,New Braunfels,COMAL,500
CCH Pharmacy,614 Eaker St,Eden,CONCHO,100
North Texas Medical Center,1900 Hospital Blvd,Gainesville,COOKE,300
Muenster Memorial Hospital,PO Box 370,Muenster,COOKE,100
Texas Department of Criminal Justice DALHART,11950 FM 998,Dalhart,DALLAM,100
Bluitt-Flowers Clinic,303 E Overton Rd,Dallas,DALLAS,100
Clinicas Mi Doctor #14,2207 Gus Thomasson Rd,Dallas,DALLAS,100
Faith Presbyterian Hospice,12477 Merit Drive,Dallas,DALLAS,100
Hatcher Station Health Center,4600 Scyene Rd,Dallas,DALLAS,100
KPC Promise Hospital of Dallas,7955 Harry Hines Blvd,Dallas,DALLAS,100
LifeCare Hospital of Dallas,1950 Record Crossing,Dallas,DALLAS,100
"Martin Luther King Jr Family Clinic, Inc",2922B Martin Luther King Jr Blvd,Dallas,DALLAS,100
Precise Personalized Care Hospice LLC,6009 Beltline Rd,Dallas,DALLAS,100
Uptown Physicians Group/ Prism Health North Texas,2801 Lemmon Ave,Dallas,DALLAS,100
Mesquite Employee Health Center,300 W Kearney St,Mesquite,DALLAS,100
Carrollton Regional Medical Center,4343 N. Josey Ln,Carrollton,DENTON,200
Fresenius Kidney Care,3400 Corinth Pkwy,Denton,DENTON,100
South Tx Rural Health Services - Carrizo Springs,902 S 5th St,Carrizo Springs,DIMMIT,100
Bienvivir Senior Health Services,2300 Mckinley Ave,El Paso,EL PASO,100
The University of Texas at El Paso,500 W. University Ave,El Paso,EL PASO,975
Convenient Care Family Medicine,2216 West Washington,Stephenville,ERATH,300
St. Marks Medical Center,One St. Marks Place,La Grange,FAYETTE,200
Ft Bend Family Hlth Ctr Accesshealth - Missouri City,307 Texas Pkwy Ste 100,Missouri City,FORT BEND,100
Fort Bend Family Health Center Access Health,400 Austin St,Richmond,FORT BEND,100
Fresenius Medical Care Rosenberg Dialysis,2510 BF Terry Blvd.,Rosenberg,FORT BEND,100
Garza County Health Clinic,1104 N. Avenue S,Post,GARZA,100
Texoma Dialysis Center,2500 Swamy Drive,Sherman,GRAYSON,100
Lhd Hardin County Health Department (Re),1135 Redwood,Kountze,HARDIN,500
Childrens Memorial Hermann Hospital Tmc,6411 Fannin St,Houston,HARRIS,200
HEALTHCARE FOR THE HOMELESS-HOUSTON,1934 CAROLINE ST,Houston,HARRIS,100
Kindred Hospital Houston Northwest,11297 Fallbrook Dr,Houston,HARRIS,100
Legacy Bissonnet Clinic,12667 Bissonnet St,Houston,HARRIS,100
Park Plaza Hospital,1313 Hermann Dr,Houston,HARRIS,200
Settegast Health Center,9105 N Wayside Dr,Houston,HARRIS,100
TCH Main,6621 Fannin St Mc 22510,Houston,HARRIS,975
The Menninger Clinic,12301 Main St,Houston,HARRIS,100
UT MD Anderson Cancer Center,1515 Holcombe Blvd,Houston,HARRIS,975
Cornerstone Hospital Of Clearlake Infection Control,709 W Medical Center Blvd,Webster,HARRIS,100
Haskell Memorial Hospital Clinic,1400 S 1st St,Haskell,HASKELL,100
Christus Santa Rosa Hospital - San Marcos,1301 Wonder World Dr,San Marcos,HAYS,200
Nuestra Clinica Del Valle - Alton,201 S Los Ebanos Rd,Alton,HIDALGO,100
Evins Regional Juvenile Center/Utmb,3801 E. Monte Cristo,Edinburg,HIDALGO,100
Project Vida Health Center,561 S. Knox,Fort Hancock,HUDSPETH,100
Hunt County Dialysis Center,3301 Ridgecrest Road,Greenville,HUNT,100
UNITED PHARMACY #539,1414 WEST WILSON,Borger,HUTCHINSON,100
Fort Davis Family Practice,1 Memorial Square 0792,Fort Davis,JEFF DAVIS,100
Lhd Port Arthur City Health Dept (Re),449 Austin Ave,Port Arthur,JEFFERSON,300
Burleson Public Health Authority,828 sw alsbury,Burleson,JOHNSON,500
FMC Cleburne Dialysis,160 Jack Burton Rd,Cleburne,JOHNSON,100
Anson General Hospital,101 Avenue J,Anson,JONES,200
HEB Pharmacy 693,107 N Sunset Strip St,Kenedy,KARNES,100
Fresenius Medical Care,2213 Old Kemp Highway,Kaufman,KAUFMAN,100
Walmart Pharmacy 265,1900 W Moore Ave,Terrell,KAUFMAN,100
United Medical Centers #2,202 James Street,Brackettville,KINNEY,100
FE Medical Services PLLC Kngsvlle,1010 West Ave B,Kingsville,KLEBERG,100
South Tx Rural Health Serv Cotulla,105 S Stewart,Cotulla,LA SALLE,100
Lhd Paris-Lamar Co Health Dept (Re),400 W Sherman St,Paris,LAMAR,400
DSHS Lampasas,205 Water Street,Lampasas,LAMPASAS,100
Dshs Hallettsville,1309 E. Cemetery Rd,Hallettsville,LAVACA,100
Yoakum Community Hospital,1200 Carl Ramert Drive,Yoakum,LAVACA,200
Teare Memorial Clinic,146 Pioneer Dr,Booker,LIPSCOMB,100
Bridge Hospice,3409 19th Street,Lubbock,LUBBOCK,100
Community Health Center Of Lubbock - Lubbock 2,1610 5th St,Lubbock,LUBBOCK,100
Covenant Specialty Hospital,3815 20th St,Lubbock,LUBBOCK,100
Texas Department of Criminal Justice MONTFORD,8602 Peach,Lubbock,LUBBOCK,200
United Pharmacy 537,2703 82nd Street,Lubbock,LUBBOCK,100
Dshs Phr 9/10 Brady,1004 S Bridge St,Brady,MCCULLOCH,100
Mclennan Cnty St Juve Corr Fac,116 W Burleson Rd,Mart,MCLENNAN,100
Mcmullen Community Health Center,203 Hackberry St,Tilden,MCMULLEN,100
South Tx Rural Health Services Devine,1010 W Hondo Ave,Devine,MEDINA,100
Frontera Clinic-Menard,119 S. Ellis,Menard,MENARD,100
Midland Community Healthcare Services - Midland 1,801 E Florida Ave,Midland,MIDLAND,100
LHD MILAM CO HEALTH DEPT (RE),209 S. Houston Ave,Cameron,MILAM,300
Montgomery County Phd,1300 S Loop 336 W,Conroe,MONTGOMERY,400
Altus Hospice Corpus Christi,4300 S Padre Island Dr,Corpus Christi,NUECES,100
Family Care Clinic Of Boys Ranch,74 Patterson Circle,Boys Ranch,OLDHAM,100
DSHS Clarksville,308 N Cedar St,Clarksville,RED RIVER,100
"Prmc Healthcare Group, Inc - Clarksville",103 N College St,Clarksville,RED RIVER,100
Red River Urgent Care,1805 Industrial Way,Clarksville,RED RIVER,100
UT Health Henderson Hospital,300 Wilson St,Henderson,RUSK,100
Resource Care Albany Hq,725 Pate St Ste 100,Albany,SHACKELFORD,100
Stratford Family Medical Clinic,Po Box 1189,Stratford,SHERMAN,100
Best Value Medical Center Pharmacy,1100 Bluebonnet St.,Glen Rose,SOMERVELL,300
Dshs Rio Grande City,608 N Garza St,Rio Grande City,STARR,100
HEB Pharmacy 013,4031 E Us Highway 83,Rio Grande City,STARR,100
Nuestra Clinica Del Valle - Roma,2891 E Grant St,Roma,STARR,100
Lillian M Hudspeth Memorial Hospital,308 Hudspeth St,Sonora,SUTTON,100
Arlington Community Health Center,979 N Cooper St,Arlington,TARRANT,100
"KEYSTONE HOSPICE CARE, INC",4811 MERLOT AVE,Grapevine,TARRANT,100
Saint Camillus Medical Center,1612 Hurst Town Center Drive,Hurst,TARRANT,100
La Esperanza Clinic Inc,1610 S Chadbourne St,San Angelo,TOM GREEN,100
Communitycare David Powell Clinic,4614 N Interstate 35,Austin,TRAVIS,100
DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,Austin,TRAVIS,2200
Texas Department Of Public Safety,5805 N Lamar Blvd,Austin,TRAVIS,100
Communitycare - Del Valle,3518 Fm 973 Ste A,Del Valle,TRAVIS,100
Rankin County Hospital District,1611 Spur 576,Rankin,UPTON,200
Val Verde Rural Health Clinic,1801 N. Bedell,Del Rio,VAL VERDE,975
Texas Department of Criminal Justice ESTELLE,264 FM 3478,Huntsville,WALKER,200
Employee Health and Wellness,1102 Bob Bullock Loop,Laredo,WEBB,100
Gateway Community Health Center Inc. - Laredo,1515 Pappas St,Laredo,WEBB,100
"VARA HOSPICE, LLC",3619 DAVIS AVE,Laredo,WEBB,100
LHD Wichita Falls-Wichita CO PH Dist (RE),1700 3rd Street,Wichita Falls,WICHITA,1950
Family Pharmacy,1720 Hillcrest Dr,Vernon,WILBARGER,300
Su Clinica - Raymondville,131 Fm 3168,Raymondville,WILLACY,100
Lone Star Circle Of Care At Cedar Park,1401 Medical Pkwy Ste 311 Bldg B,Cedar Park,WILLIAMSON,100
Baylor Scott & White Medical Center - Taylor,305 Mallard Ln,Taylor,WILLIAMSON,100
Graham Regional Medical Center,1301 Montgomery Rd,Graham,YOUNG,200
Dshs Zapata,1305 Kennedy Street,Zapata,ZAPATA,100
Gateway Community Health Center,210 N Rathmell Ave,Zapata,ZAPATA,100
Zapata Primary Care - Zapata 1,105 S Us Highway 83,Zapata,ZAPATA,100
