Providers Name,Address,City,County,Doses
Valley Baptist Family Practice Residency,2222 Benwood St,Harlingen,CAMERON,600
Port Isabel Health Clinic,202 2nd St,Port Isabel,CAMERON,200
HEB Pharmacy 626,1095 West Business Hwy 77,San Benito,CAMERON,100
Lhd Cameron County Health Department (Re,1390 W Expressway 83,San Benito,CAMERON,200
Valley House Calls Pllc,1795 W Us Highway 77,San Benito,CAMERON,1000
Panhandle Family Care Llc,102 Us Highway 60,Panhandle,CARSON,100
Christus St. Michael Hospital - Atlanta,1007 S William St,Atlanta,CASS,100
Medical Center Of Dimmitt,300 W Halsell St,Dimmitt,CASTRO,100
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,200
HEB Pharmacy 741,13401 I-10 East,Baytown,CHAMBERS,100
Brookshires Pharmacy 1002,204 Broadway,Winnie,CHAMBERS,200
Riceland Medical Center,538 Broadway Ste 1,Winnie,CHAMBERS,500
Brookshires Pharmacy 7,210 N Marcus,Alto,CHEROKEE,100
Brookshires Pharmacy 17,210 E Cherokee St,Jacksonville,CHEROKEE,300
Christus Mother Frances Hospital - Jacksonville,2026 S Jackson St,Jacksonville,CHEROKEE,100
Brookshires Pharmacy 22,425 N Main St,Rusk,CHEROKEE,200
Chapman Pharmacy,108 E 5th St,Rusk,CHEROKEE,100
Rusk State Hospital,805 North Dickinson Dr,Rusk,CHEROKEE,500
Texas Department of Criminal Justice Skyview,379 FM 2972,Rusk,CHEROKEE,100
Childress Regional Medical Center,901 Highway 83 North,Childress,CHILDRESS,100
Fox Rural Health Clinic,1001 Us Highway 83 N,Childress,CHILDRESS,100
Ccmh Clinic,102 S Archer St,Henrietta,CLAY,100
Coleman Medical Associates,310 S Pecos St Fl 2,Coleman,COLEMAN,200
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,200
Brookshires Pharmacy 131,1325 W White St,Anna,COLLIN,100
Brookshires Pharmacy 73,675 E Sunset Blvd,Celina,COLLIN,100
Celina Drug,701 N Preston Rd Ste 210,Celina,COLLIN,500
Town of Fairview,372 Town Place,Fairview,COLLIN,100
Brookshires Pharmacy 79,1705 W Audie Murphy Pkwy,Farmersville,COLLIN,100
Baylor Scott And White Medical Center - Centennial,12505 Lebanon Rd,Frisco,COLLIN,300
Frisco Fire Department,8601 Gary Burns Dr.,Frisco,COLLIN,300
Frisco Medical Center,5601 Warren Pkwy,Frisco,COLLIN,1800
Medical City Frisco,5500 Frisco Square Blvd,Frisco,COLLIN,400
"Pediatric Pulmonary Associates of North Texas, P.A","8501 Wade Blvd, Suite 1020",Frisco,COLLIN,100
United Market St Pharmacy 562,11999 Dallas Pkwy,Frisco,COLLIN,500
Baylor Scott and White MC Mckinney,5252 W University Dr,McKinney,COLLIN,800
BERG & MINIGUTTI PLLC,8000 ELDORADO PKWY,McKinney,COLLIN,500
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,800
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,1000
Fairview Dermatology,331 Town Pl,McKinney,COLLIN,300
"Alvin R Gebert, MD, PA",6130 W Parker Rd,Plano,COLLIN,100
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,700
Childrens Medical Center Plano,7601 Preston Rd,Plano,COLLIN,2500
Internal Medicine Associates Of Plano,6124 W Parker Rd Ste 234,Plano,COLLIN,1200
Md Kids Pediatrics - W Plano,7800 Preston Rd Ste 300,Plano,COLLIN,200
NT Preferred Health Partners Plano,4708 Dexter Drive,Plano,COLLIN,100
"SandsRx, LLC",4 Regency Dr,Wylie,COLLIN,300
Wylie Fire Station 3,210 N. WA Allen Blvd,Wylie,COLLIN,300
Collingsworth Family Medicine,1011 15th St,Wellington,COLLINGSWOR,100
Columbus Community Hospital - Columbus 2,110 Shult Drive,Columbus,COLORADO,100
Brookshires Pharmacy 79 - Canyon Lake,18275 Fm 306,Canyon Lake,COMAL,200
ASPG dba CHRISTUS Promptu Urgent Care - New Braunfels,1659 W State Highway 46,New Braunfels,COMAL,2000
Briggs Family Medicine,910 Gruene Rd,New Braunfels,COMAL,100
Christus Santa Rosa Hospital New Braunfels,600 North Union Ave,New Braunfels,COMAL,500
Christus Trinity Clinic Hill Country Landa,774 Landa St,New Braunfels,COMAL,200
Comal County Public Health Office (Re),1297 Church Hill Drive,New Braunfels,COMAL,200
Heb Pharmacy 380,651 S Walnut,New Braunfels,COMAL,100
HEB Pharmacy 694,2965 N Interstate 35,New Braunfels,COMAL,100
HEB Pharmacy 74,1655 Highway 46 West,New Braunfels,COMAL,100
Madison D Lowry MD,1282 E Common St,New Braunfels,COMAL,300
HEB Pharmacy 622,20725 Hwy 46 West,Spring Branch,COMAL,100
Brookshires Pharmacy 93,400 W Central Ave,Comanche,COMANCHE,100
Family 1st Care,1615 Hospital Blvd Ste A,Gainesville,COOKE,100
Heb Pharmacy 668,2990 E Hwy 190,Copperas Cove,CORYELL,100
Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,300
Heb Pharmacy 403,1207 E Main St,Gatesville,CORYELL,100
Crane County Rural Health Clinic,1310 S Alford St,Crane,CRANE,100
Crosbyton Clinic Hosptital,710 W Main St,Crosbyton,CROSBY,100
Van Horn Rural Health Clinic,Eisenhower Rd Fm 2185,Van Horn,CULBERSON,100
Texas Department of Criminal Justice DALHART,11950 FM 998,Dalhart,DALLAM,100
Vcare Clinics - Carrollton,1445 Mac Arthur Dr,Carrollton,DALLAS,100
Albertsons Pharmacy 4133,427 E FM 1382,Cedar Hill,DALLAS,100
"Healthcare Associates of Irving, LLP",546 E Sandy Lake Rd,Coppell,DALLAS,200
Baylor Scott & White Pharmacy #101,3600 Gaston Avenue,Dallas,DALLAS,900
Childrens Medical Center Of Dallas,1935 Medical District Dr,Dallas,DALLAS,2500
City Hospital At White Rock,9440 Poppy Dr,Dallas,DALLAS,500
Clinica Mi Doctor,8112 Spring Valley Rd,Dallas,DALLAS,500
Dallas Medical Center,7 Medical Parkway,Dallas,DALLAS,200
Doughertys Pharmacy,5959 Royal Ln Ste 515,Dallas,DALLAS,500
Hampton Apothecary Lp,2701 S Hampton Rd. Ste 100,Dallas,DALLAS,100
Healing Hands Ministries,8515 Greenville Ave Ste N-112,Dallas,DALLAS,100
HealthCore Physicians Group,"8210 Walnut Hill Ln, Suite 230",Dallas,DALLAS,200
Kay Bailey Hutchinson Convention Center,650 S Griffin Street,Dallas,DALLAS,2000
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,1200
Md Family Clinic,9709 Bruton Rd,Dallas,DALLAS,500
Md Family Clinic - Hampton,2815 S Hampton Rd,Dallas,DALLAS,500
Md Family Marsh - Dallas - 9991 Marsh Ln,9991 Marsh Ln,Dallas,DALLAS,500
Md Kids Pediatrics - Cockrell Hill,4351 Dfw Turnpike Ste,Dallas,DALLAS,200
Md Kids Pediatrics - Dallas,655 W Illinois Ave Ste 916,Dallas,DALLAS,200
Md Kids Pediatrics - Lake Highlands,8330 Abrams,Dallas,DALLAS,200
Md Kids Pediatrics - Oakcliff,3434 W Illinois Ave # 306-3,Dallas,DALLAS,200
Md Progressive Care,3500 Oak Lawn Ave,Dallas,DALLAS,100
Medical City Green Oaks Hospital,7808 Clodus Fields Dr,Dallas,DALLAS,100
Medical City Heart and Spine Hospitals,11970 N Central Expy,Dallas,DALLAS,300
Neighborcare Clinic,2261 Singleton Blvd Ste 101,Dallas,DALLAS,100
North Texas Preferred Health Partners - Dallas,3417 Gaston Avenue,Dallas,DALLAS,100
Park Cities Surgery Center,6901 Snider Plz,Dallas,DALLAS,200
Parkland Employee Physicians Office,7920 Elmbrook Dr Ste 120,Dallas,DALLAS,2500
Parkland Occupational Health Services,5201 Harry Hines Blvd,Dallas,DALLAS,2500
"RAFAEL CANADAS, MD PA",12201 MERIT DR,Dallas,DALLAS,100
Tom Thumb Pharmacy 3296,2380 N Field St,Dallas,DALLAS,100
Farmers Branch Fire Department,13333 Hutton Dr,Farmers Branch,DALLAS,100
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,900
Md Kids Pediatrics - Garland,3050 S 1st St Ste 209,Garland,DALLAS,200
Tom Thumb Pharmacy 2578,2535 N.E. Parkway,Garland,DALLAS,200
"Purple Hearts Primary Care Services, PLLC",688 W. Pioneer Pkwy,Grand Prairie,DALLAS,1800
Healthcare Associates Of Irving,6161 N State Highway 161,Irving,DALLAS,200
"Healthcare Associates of Irving, LLP",3501 N MacArthur Blvd,Irving,DALLAS,100
Md Kids Pediatrics Macarthur - Irving,1111 W Airport Fwy,Irving,DALLAS,200
Medical City Las Colinas,6800 N Macarthur Blvd,Irving,DALLAS,700
USMD Las Colinas,6750 N. MacArthur Blvd,Irving,DALLAS,500
Dallas Regional Medical Center,1011 N Galloway Ave,Mesquite,DALLAS,500
Salma Mazhar MD PA,1210 N. Galloway Ave,Mesquite,DALLAS,300
Vital Family Practice Center,1900 Oates Dr,Mesquite,DALLAS,500
Comprehensive Orthopedics and Rehabilitation PA,1120 W. Campbell Rd,Richardson,DALLAS,500
Healthcare Associates of Irving LLP,7501 Lakeview Pkwy,Rowlett,DALLAS,200
Brookshires Pharmacy 106,125 Hall Rd,Seagoville,DALLAS,100
Baylor Scott & White Medical Center Sunnyvale,231 S Collins Rd,Sunnyvale,DALLAS,400
Christus Trinity Clinic- Richmond Road Texarkana,3502 Richmond Rd,Texarkana,DALLAS,500
Texas Department of Criminal Justice SMITH,1313 County Road 19,Lamesa,DAWSON,100
Cuero Regional Hospital,2550 N. Esplanade,Cuero,DE WITT,200
HEB Pharmacy 712,909 E Broadway St,Cuero,DE WITT,100
Hereford Health Clinic,540 W 15th St,Hereford,DEAF SMITH,200
Wise Health Surgical Hospital at Argyle,7218 Crawford Rd,Argyle,DENTON,200
Aubrey Pharmacy,701 S Highway 377,Aubrey,DENTON,100
"Healthcare Associates of Irving, LLP",8700 US Hwy 380,Aubrey,DENTON,100
Md Kids Pediatrics Carrolton,3044 Old Denton Rd Ste 138,Carrollton,DENTON,200
Select Specialty Hospital Dallas Inc,2329 W. Parker Rd,Carrollton,DENTON,200
Trinity Apothecary,"2501 E. Hebron Pkwy, Suite 100B",Carrollton,DENTON,100
Denton County Public Health - Denton,535 S. Loop 288,Denton,DENTON,1000
Horizon Medical Center,2813 South Mayhill Road,Denton,DENTON,100
Md Family Clinic - Denton,1306 Teasley Ln,Denton,DENTON,500
Medical City Denton,3535 South I35 East,Denton,DENTON,1300
Texas Woman's University,604 Administration Drive,Denton,DENTON,2100
Flower Mound Fire Department,3911 S. Broadway Ave,Flower Mound,DENTON,500
"Driven MD, PLLC",8501 Wade Blvd,Frisco,DENTON,200
West Frisco Health And Wellness,4280 Main Street,Frisco,DENTON,500
Medical Center Of Lewisville,500 W Main St,Lewisville,DENTON,600
Brookshires Pharmacy 109 - Pilot Point,750 S Highway 377,Pilot Point,DENTON,200
Heb Pharmacy 671,2030 N 1st St,Carrizo Springs,DIMMIT,100
SAN DIEGO PHARMACY,500 S Dr EE Dunlap st,San Diego,DUVAL,100
Brookshires Pharmacy 99,1010 Avenue E,Cisco,EASTLAND,100
Heb Pharmacy 387,3801 E 42nd St,Odessa,ECTOR,100
HEB Pharmacy 700,540 W 5th Street,Odessa,ECTOR,100
HEB Pharmacy 711,2501 W University Blvd,Odessa,ECTOR,100
Medical Center Hospital,400 W 4th,Odessa,ECTOR,2500
Odessa Consultants,420 E 6th St Ste 107,Odessa,ECTOR,500
Odessa Regional Medical Center,520 E 6th St,Odessa,ECTOR,400
Texas Tech Health Science Center,701 W 5th St Ste 1111,Odessa,ECTOR,200
Centro San Vicente - El Paso,8061 Alameda Ave,El Paso,EL PASO,1500
Cesar R Calianga MD,7812 Gateway East,El Paso,EL PASO,100
Dept of Public Health-Remcon,7380 Remcon Circle,El Paso,EL PASO,300
Dept Public Health-Alameda,9341 Alameda,El Paso,EL PASO,300
Dept Public Health-Railroad,9566 Railroad,El Paso,EL PASO,300
Dept Public Health-Stanton,220 S. Stanton,El Paso,EL PASO,300
El Paso Children's Hospital,4845 Alameda Ave,El Paso,EL PASO,700
El Paso Fire Department,6800 Delta,El Paso,EL PASO,900
El Paso Psychiatric Center,4615 Alameda Ave,El Paso,EL PASO,200
El Paso Pulmonary Association - El Paso - 4305 N. Mesa Ste A 4305 N Mesa St,,El Paso,EL PASO,100
EP FAMILY DOCTOR,2270 Joe Battle Suite M-N,El Paso,EL PASO,500
Family Medicine Associates of El Paso,9398 Viscount Blvd,El Paso,EL PASO,500
Helena H. Liptakova Md Pllc,10870 Gateway Blvd N Ste B,El Paso,EL PASO,300
Immunize El Paso Eastside,1580 George Dieter Dr Ste 103,El Paso,EL PASO,2000
Kindred Hospital El Paso,1740 Curie Drive,El Paso,EL PASO,200
