Provider Name,Address,City,County,Doses
Walgreens Pharmacy 04113,1620 S Gordon St,Alvin,BRAZORIA,100
Women's And Children's Health Center- 061736,218 E House St,Alvin,BRAZORIA,100
Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA,100
Kroger Pharmacy 256,1804 N Velasco St,Angleton,BRAZORIA,100
Next Level Urgent Care Brazoria,20799 County Road 171,Angleton,BRAZORIA,200
Walgreens Pharmacy 04373,1001 Loop 274,Angleton,BRAZORIA,100
Kroger Pharmacy 149,800 N Dixie Dr,Clute,BRAZORIA,100
Walgreens Pharmacy 04100,51 Dixie Dr,Clute,BRAZORIA,100
Brazoria County Health Department-Lake Jackson,202 Peach St,Lake Jackson,BRAZORIA,100
HEB Pharmacy 707,97 Oyster Creek Dr,Lake Jackson,BRAZORIA,100
Prestige Medical P.A,3945 County Road 58,Manvel,BRAZORIA,100
HEB Pharmacy 63,2805 Business Center Dr.,Pearland,BRAZORIA,100
Kroger Pharmacy 343,8323 Broadway St,Pearland,BRAZORIA,100
Pearland Family Health Center-061819,2552 Broadway St # 102,Pearland,BRAZORIA,100
Randalls Pharmacy 1858,10228 Broadway,Pearland,BRAZORIA,100
Walgreens Pharmacy 07459,1515 Broadway,Pearland,BRAZORIA,100
Texas Department of Criminal Justice DARRINGTON,59 Darrington Rd,Rosharon,BRAZORIA,100
Texas Department of Criminal Justice Ramsey 1,1100 FM655,Rosharon,BRAZORIA,100
Texas Department of Criminal Justice Stringfellow,1200 FM 655,Rosharon,BRAZORIA,100
Texas Department of Criminal Justice Terrell,1300 FM 655,Rosharon,BRAZORIA,100
Walgreens Pharmacy 12052,100 E Brazos Ave,West Columbia,BRAZORIA,100
Brazos County Health And Wellness,300 E Wm J Bryan Pkwy Ste 200,Bryan,BRAZOS,100
Bryan Family Medicine Clinic,2709 Osler Blvd,Bryan,BRAZOS,100
Chi St Joseph Primary Austins Colony,2410 Boonville Rd,Bryan,BRAZOS,300
Chi St Joseph Primary Care 29th,2210 E 29th St,Bryan,BRAZOS,200
Chi St Joseph Primary Care University Dr,3201 University Dr E Ste 425,Bryan,BRAZOS,200
Chi St Joseph Prmry Care W Villa Maria,1612 W Villa Maria Rd Ste 130,Bryan,BRAZOS,100
Health Point Bcs,3370 S Texas Ave,Bryan,BRAZOS,100
Healthpoint Memorial,1301 Memorial Drive,Bryan,BRAZOS,100
Kroger Pharmacy 383,2303 Boonville Rd,Bryan,BRAZOS,100
Healthpoint Abc,1602 Rock Prairie Rd,College Station,BRAZOS,100
Kroger Pharmacy 361,3535 Longmire Dr,College Station,BRAZOS,100
Cogdell Clinic Briscoe County,701 Commerce St,Silverton,BRISCOE,100
HEB Pharmacy 200,800 S Saint Marys St,Falfurrias,BROOKS,100
Walgreens Pharmacy 11926,200 W Commerce St,Brownwood,BROWN,100
Ascension Seton Highland Lakes Burnet Clinic,200 John W Hoover Pkwy,Burnet,BURNET,100
Atkins Express Pharmacy,2607 Hwy 281 N,Marble Falls,BURNET,100
Heb Pharmacy 445,403 S Colorado St,Lockhart,CALDWELL,100
Walgreens Pharmacy 11131,200 S Colorado St,Lockhart,CALDWELL,100
"DIsmukesRx, LLC",511 East Davis Street,Luling,CALDWELL,100
Memorial Medical Clinic - Port Lavaca,1016 N. Virgnia,Port Lavaca,CALHOUN,100
Resourcecare Clinic Clyde,1712 N Access Rd,Clyde,CALLAHAN,100
Brownsville Community Health Center,191 E. Price Rd,Brownsville,CAMERON,100
Carlos Rosas MD PA,704 Paredes Line Rd Ste A,Brownsville,CAMERON,100
Jk Family Clinic,2886 West Altongloor,Brownsville,CAMERON,100
M And M Adult Clinic,4365 S. Expressway 77/83,Brownsville,CAMERON,100
S Texas Cancer Ctr Brownsville,2150 N Expressway 83,Brownsville,CAMERON,100
UTHealth RGV AHEC Primary Care At Bob Clark,9901 California Rd.,Brownsville,CAMERON,100
"Valley Doctors Clinic Of Brownsville, Pllc",2300 Central Blvd,Brownsville,CAMERON,100
Ccdhhs Harlingen Nursing Office,711 N L St,Harlingen,CAMERON,1000
DIANA LOZANO MD PA,5505 S Expressway 77,Harlingen,CAMERON,100
Friendly Neighborhood Health Clinic Pllc,617 E Loop 499,Harlingen,CAMERON,200
Rio Grande State Center,1401 S Rangerville Rd,Harlingen,CAMERON,100
S Texas Cancer Ctr Harlingen,2121 Pease St Ste,Harlingen,CAMERON,100
Salinas Pharmacy,1022 South F St.,Harlingen,CAMERON,100
Los Fresnos Pharmacy,810 W. Ocean Blvd,Los Fresnos,CAMERON,100
Father Joseph Obrien Health Clinic,142 Champion Ave,Port Isabel,CAMERON,100
Salinas Pharmacy Inc,500 N Sam Houston Blvd,San Benito,CAMERON,100
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,300
West Chambers Medical Clinic,9825 Eagle Dr,Baytown,CHAMBERS,100
Riceland Medical Center,538 Broadway Ste 1,Winnie,CHAMBERS,500
LHD Cherokee County Health Department (RE),803 College Ave,Jacksonville,CHEROKEE,200
Fox Rural Health Clinic,1001 Us Highway 83 N,Childress,CHILDRESS,200
United Pharmacy 518,2105 Avenue F Nw,Childress,CHILDRESS,100
Clay County Memorial Hospital,310 W South St,Henrietta,CLAY,100
OWL DRUG STORE,312 COMMERCIAL,Coleman,COLEMAN,200
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,300
Kroger Pharmacy 544,1212 E Bethany Dr,Allen,COLLIN,100
Kroger Pharmacy 548,1210 N Greenville Ave,Allen,COLLIN,100
Market Street Pharmacy 563,985 W Bethany Dr,Allen,COLLIN,100
Tom Thumb Pharmacy 3579,900 W Mcdermott Dr,Allen,COLLIN,100
Walgreens Pharmacy 04787,1226 W Mcdermott Dr,Allen,COLLIN,100
Walgreens Pharmacy 04860,510 E Main St,Allen,COLLIN,100
Brookshires Pharmacy 131,1325 W White St,Anna,COLLIN,100
Brookshires Pharmacy 73,675 E Sunset Blvd,Celina,COLLIN,100
Celina Drug,701 N Preston Rd Ste 210,Celina,COLLIN,100
Tom Thumb Pharmacy 3582,18212 Preston Rd,Dallas,COLLIN,100
Walgreens Pharmacy 05710,18410 Preston Rd,Dallas,COLLIN,100
Brookshires Pharmacy 79,1705 W Audie Murphy Pkwy,Farmersville,COLLIN,100
"Centennial ASC, LLC",4401 Coit Road,Frisco,COLLIN,100
Kroger Pharmacy 546,4851 Legacy Drive,Frisco,COLLIN,100
Market Street Pharmacy 685,4268 Legacy Dr,Frisco,COLLIN,100
Tom Thumb Pharmacy 2581,4848 Preston Rd,Frisco,COLLIN,100
United Market St Pharmacy 562,11999 Dallas Pkwy,Frisco,COLLIN,100
Walgreens Pharmacy 04786,5049 Preston Rd,Frisco,COLLIN,100
BERG & MINIGUTTI PLLC,8000 ELDORADO PKWY,McKinney,COLLIN,200
"Healthcare Associates of Irving, LLP",2760 Virginia Pkwy,McKinney,COLLIN,200
Kroger Pharmacy 488,1707 W University Dr,McKinney,COLLIN,100
Kroger Pharmacy 565,1801 N Lake Forest Dr,McKinney,COLLIN,100
Market Street Pharmacy 561,6100 Eldorado Pkwy,McKinney,COLLIN,100
Mckinney Isd,1 Duvall St,McKinney,COLLIN,100
Methodist McKinney Hospital,8000 W. Eldorado Pkwy,McKinney,COLLIN,200
Tom Thumb Pharmacy 0296,6800 W Virginia Parkway,McKinney,COLLIN,100
Walgreens Pharmacy 04663,3001 Eldorado Pkwy,McKinney,COLLIN,100
Walgreens Pharmacy 09908,1651 W Univeristy Dr,McKinney,COLLIN,100
Kindred Wellbridge Plano,4301 MapleshadeLn,Plano,COLLIN,100
Kroger Pharmacy 522,7100 Independence Pkwy.,Plano,COLLIN,100
Kroger Pharmacy 540,3305 N. Dallas Parkway,Plano,COLLIN,100
Market Street Pharmacy 566,1929 Preston Rd,Plano,COLLIN,100
Tom Thumb Pharmacy 1788,7801 Alma,Plano,COLLIN,100
Tom Thumb Pharmacy 2554,3100 Independence Parkway,Plano,COLLIN,100
Tom Thumb Pharmacy 2595,3945 Legacy Drive,Plano,COLLIN,100
Tom Thumb Pharmacy 3645,2200 14th St,Plano,COLLIN,100
Walgreens #21173,1600 COIT RD,Plano,COLLIN,100
Walgreens Pharmacy 03911,2001 Custer Rd,Plano,COLLIN,100
Kroger Pharmacy 573,1250 N. Preston Road,Prosper,COLLIN,100
Tom Thumb Pharmacy 3641,3411 Custer Pkwy,Richardson,COLLIN,100
Walgreens Pharmacy 06663,4201 E Renner Rd,Richardson,COLLIN,100
Kroger Pharmacy 578,2608 W Fm 544,Wylie,COLLIN,100
Walgreens Pharmacy 06329,720 W Kirby St,Wylie,COLLIN,100
Columbus Community Hospital - Columbus 2,110 Shult Drive,Columbus,COLORADO,200
DSHS Columbus Clinic,1220 Bowie St,Columbus,COLORADO,100
Gruene Lake Medical,948 Gruene Road,New Braunfels,COMAL,100
New Braunfels Rural Health Clinic,705 Landa St Ste C,New Braunfels,COMAL,200
Resolute Health Hospital,555 Creekside Crossing,New Braunfels,COMAL,200
Mercy Wellness Clinic,18568 Forty Six Pkwy Ste 1001,Spring Branch,COMAL,200
Family 1st Care,1615 Hospital Blvd Ste A,Gainesville,COOKE,500
Gainesville State School,1379 Fm 678,Gainesville,COOKE,200
North Texas Medical Center,1900 Hospital Blvd,Gainesville,COOKE,300
Tom Thumb Pharmacy 2557,200 N Grand Ave,Gainesville,COOKE,100
Texas Department of Criminal Justice CRAIN,1401 Sate School Rd,Gatesville,CORYELL,100
Texas Department of Criminal Justice Hughes,3201 FM 929,Gatesville,CORYELL,100
Texas Department of Criminal Justice Mt. View,2305 Ransom Road,Gatesville,CORYELL,100
Texas Department of Criminal Justice Murray,1916 N. Hwy 36 Bypass,Gatesville,CORYELL,100
Kroger Pharmacy 870,3770 Belt Line Rd,Addison,DALLAS,100
Tom Thumb Pharmacy 2643,14280 Marsh Ln,Addison,DALLAS,100
Kroger Pharmacy 492,11925 Elam Rd,Balch Springs,DALLAS,100
Kroger Pharmacy 436,235 E Fm 1382,Cedar Hill,DALLAS,100
Kroger Pharmacy 448,950 E Sandy Lake Rd,Coppell,DALLAS,100
Tom Thumb Pharmacy 1781,106 N Denton Tap Road,Coppell,DALLAS,100
United Market St. Pharmacy 564,700 N Denton Tap Rd,Coppell,DALLAS,100
Ahf Pharmacy,7777 Forest Lane.,Dallas,DALLAS,100
Childrens Medical Center Of Dallas,1935 Medical District Dr,Dallas,DALLAS,1200
Clinicas Mi Doctor - Dallas 2,3247 Dawes Dr,Dallas,DALLAS,100
Compassion Care Clinic,1050 N Westmoreland Rd Ste 432,Dallas,DALLAS,100
Dougherty's Pharmacy,5959 Royal Ln Ste 515,Dallas,DALLAS,100
Harrell A Grand MD,3801 Gaston Ave,Dallas,DALLAS,100
Heavenly Hands Family Medical Clinic Pllc,7602 Great Trinity Forest Way,Dallas,DALLAS,100
"Highland Park Emergency Center, LLC",5150 Lemmon Ave.,Dallas,DALLAS,100
Highrise Health Pllc Dba Vertical Healthcare,3624 Oak Lawn Avenue,Dallas,DALLAS,100
Internal Medicine Associates Of Texas,7777 Forest Ln Ste C650,Dallas,DALLAS,100
James Gilbert Pfister Md,10218 Midway Rd,Dallas,DALLAS,100
Kroger Pharmacy 213,752 Wynnewood Village Shp Ctr,Dallas,DALLAS,100
Kroger Pharmacy 511,10677 E. Northwest Hwy,Dallas,DALLAS,100
Kroger Pharmacy 518,5665 E Mockingbird Ln,Dallas,DALLAS,100
Kroger Pharmacy 588,9140 Forest Ln,Dallas,DALLAS,100
Kroger Pharmacy 689,17194 Preston Road,Dallas,DALLAS,100
Lake June Medical Clinic,7716 Lake June Rd,Dallas,DALLAS,100
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,1200
Md Family Clinic - Dallas,2959 S Buckner Blvd Ste 700,Dallas,DALLAS,100
Md Family Marsh - Dallas - 9991 Marsh Ln,9991 Marsh Ln,Dallas,DALLAS,300
OAKCLIFF MEDICAL CLINIC,1401 W JEFFERSON BLVD,Dallas,DALLAS,100
Parkland Occupational Health Services,5201 Harry Hines Blvd,Dallas,DALLAS,1000
ProSalutem,11882 Greenville Avenue,Dallas,DALLAS,100
Savon 4289,320 Casa Linda Plaza,Dallas,DALLAS,100
Texas Department of Criminal Justice Hutchins,1500 E. Langdon Rd.,Dallas,DALLAS,100
Tom Thumb Pharmacy 1540,3757 Forest Ln,Dallas,DALLAS,100
Tom Thumb Pharmacy 2534,6333 East Mockingbird Lane,Dallas,DALLAS,100
Tom Thumb Pharmacy 2642,5809 E Lovers Ln,Dallas,DALLAS,100
Tom Thumb Pharmacy 2990,7117 Inwood Rd,Dallas,DALLAS,100
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,1700
Walgreens Pharmacy 21222,6520 E NORTHWEST HIGHWAY,Dallas,DALLAS,100
Kroger Pharmacy 545,"1001 N. Beckley, Ste. 500",Desoto,DALLAS,100
Tom Thumb Pharmacy 3623,210 E Pleasant Run Rd,Desoto,DALLAS,100
Kroger Pharmacy 527,200 W Camp Wisdom Rd,Duncanville,DALLAS,100
Tom Thumb Pharmacy 3563,633 W Wheatland Rd,Duncanville,DALLAS,100
Garland Health Center,802 Hopkins St,Garland,DALLAS,100
Garland Independent Pharmacy,3641 Broadway Blvd,Garland,DALLAS,100
Kroger Pharmacy 403,532 W Interstate 30,Garland,DALLAS,100
Kroger Pharmacy 557,6850 North Shiloh Road,Garland,DALLAS,100
Kroger Pharmacy 559,1406 W Walnut St,Garland,DALLAS,100
Patient Place - Garland 1,2636 W Walnut St Ste 100,Garland,DALLAS,100
Savon 4265,5710 Broadway Blvd,Garland,DALLAS,100
Tom Thumb Pharmacy 1783,2645 Arapaho,Garland,DALLAS,100
Tom Thumb Pharmacy 2561,925 Northwest Hwy,Garland,DALLAS,100
Kroger Pharmacy 191,313 E Pioneer Pkwy,Grand Prairie,DALLAS,100
Mi Doctor #13 Grand Prairie,410 E Pioneer Pkwy Ste 300,Grand Prairie,DALLAS,100
Tom Thumb Pharmacy 1786,4215 S Carrier Pkwy,Grand Prairie,DALLAS,100
Gibson Pharmacy,815 N OCONNOR RD,Irving,DALLAS,100
Irving Regional Dialysis Center,2535 W Airport Freeway,Irving,DALLAS,100
Kroger Pharmacy 402,3612 N Belt Line Rd,Irving,DALLAS,100
Kroger Pharmacy 429,2201 W Grauwyler Rd,Irving,DALLAS,100
Kroger Pharmacy 495,515 S Macarthur Blvd,Irving,DALLAS,100
Kroger Pharmacy 577,7505 N Macarthur Blvd,Irving,DALLAS,100
Las Colinas Pharmacy,6420 N. MacArthurBlvd,Irving,DALLAS,100
Tom Thumb Pharmacy 3621,4010 N Macarthur Blvd Ste 10,Irving,DALLAS,100
Crescent Medical Center Lancaster,2600 W Pleasant Run Rd,Lancaster,DALLAS,200
Kroger Pharmacy 450,3600 Gus Thomasson Road,Mesquite,DALLAS,100
Kroger Texas LP,525 N Galloway,Mesquite,DALLAS,100
Regional Dialysis Center of Mesquite,1650 Republic Pkwy,Mesquite,DALLAS,100
Kroger Pharmacy 517,160 N. Coit,Richardson,DALLAS,100
Kroger Pharmacy 526,536 Centennial Blvd,Richardson,DALLAS,100
Richardson Fire Department,300 N. Greenville Ave.,Richardson,DALLAS,200
Tom Thumb Pharmacy 2526,#39 Arapaho Village S.C.,Richardson,DALLAS,100
Tom Thumb Pharmacy 3637,1380 W Campbell Rd,Richardson,DALLAS,100
Kroger Pharmacy 461,5190 Highway 78,Sachse,DALLAS,100
BELTLINE SURGERY CENTER,2858 N. BELTLINE ROAD,Sunnyvale,DALLAS,100
Dawson County Hospital District,2200 North Bryan Avenue,Lamesa,DAWSON,100
HEREFORD PHARMACY,809 S 25 MILE AVE,Hereford,DEAF SMITH,100
Kroger Pharmacy 572,3400 Fm 407 E.,Argyle,DENTON,100
Aubrey Pharmacy,701 S Highway 377,Aubrey,DENTON,100
Walgreens Pharmacy 11567,26731 Us Highway 380 E,Aubrey,DENTON,100
Kroger Pharmacy 460,4038 Old Denton Rd,Carrollton,DENTON,100
Precision Family Medicine,1428 W Hebron Pkwy,Carrollton,DENTON,100
Tom Thumb Pharmacy 2590,4112 N. Josey,Carrollton,DENTON,100
Walgreens Pharmacy 04014,1804 E Hebron Pkwy,Carrollton,DENTON,100
Walgreens Pharmacy 10816,1919 E Frankford Rd,Carrollton,DENTON,100
Kroger Pharmacy 587,3939 Frankford Rd,Dallas,DENTON,100
Walgreens Pharmacy 04013,18207 Midway Rd,Dallas,DENTON,100
Community Pharmacy,3001 Fm 2181,Denton,DENTON,100
Family Healthcare - Denton,3105 Colorado Blvd,Denton,DENTON,200
Kroger Pharmacy 493,500 W University Dr,Denton,DENTON,100
Kroger Pharmacy 570,5021 Teasley Ln,Denton,DENTON,100
Kroger Pharmacy 586,1592 S Loop 288,Denton,DENTON,100
Walgreens 11515,5000 Teasley Ln,Denton,DENTON,100
Walgreens Pharmacy 05161,101 W University Dr,Denton,DENTON,100
Kroger Pharmacy 456,2709 Cross Timbers Road,Flower Mound,DENTON,100
Tom Thumb Pharmacy 1854,4301 Cross Timbers Rd,Flower Mound,DENTON,100
Walgreens Pharmacy 04171,2050 Long Prairie Rd,Flower Mound,DENTON,100
iCare Emergency Center,2955 Eldorado Pkwy,Frisco,DENTON,100
Kroger Pharmacy 547,3205 Main St,Frisco,DENTON,100
Tom Thumb Pharmacy 2963,5550 F.M. 423,Frisco,DENTON,100
Walgreens Pharmacy 07645,3030 Main St,Frisco,DENTON,100
Walgreens Pharmacy 04587,2360 Justin Rd,Highlands,DENTON,100
Highland Village Fire Department,1200 Highland Village Rd,Lewisville,DENTON,100
Kroger Pharmacy 599,4620 State Highway 121,Lewisville,DENTON,100
Medical Center Of Lewisville,500 W Main St,Lewisville,DENTON,100
Mi Doctor - Lewisville,701 S Stemmons Fwy Ste 260,Lewisville,DENTON,100
Tom Thumb Pharmacy 1785,1075 W Round Grove Rd,Lewisville,DENTON,100
Walgreens Pharmacy 05960,1103 W Round Grove Rd,Lewisville,DENTON,100
Kroger Pharmacy 580,2671 Little Elm Pkwy,Little Elm,DENTON,100
Walgreens Pharmacy 11320,2774 E Eldorado Pkwy,Little Elm,DENTON,100
Brookshires Pharmacy 109 - Pilot Point,750 S Highway 377,Pilot Point,DENTON,100
Kroger Pharmacy 589,4650 W University Dr,Prosper,DENTON,100
A&P Pharmacy DBA Roanoke Pharmacy,207 E Byron Nelson Blvd,Roanoke,DENTON,100
Tom Thumb Pharmacy 1789,101 Trophy Lake Dr,Roanoke,DENTON,100
Kroger Pharmacy 879,6805 N Main,The Colony,DENTON,100
Walgreens Pharmacy 04719,5297 State Highway 121,The Colony,DENTON,100
Dimmit Regional Hospital dba Luevano Health Care,504 Hospital Drive,Carrizo Springs,DIMMIT,100
Clarendon Family Medical Center,1 Medical Center Drive,Clarendon,DONLEY,100
Albertsons Pharmacy 676,2751 N County Rd W,Odessa,ECTOR,100
Albertsons Pharmacy 677,1350 E 8th St,Odessa,ECTOR,200
Lhd Ector County Health Department (Re),221 N Texas Ave,Odessa,ECTOR,200
Market Street Pharmacy 675,4950 E 42nd St,Odessa,ECTOR,100
Odessa Regional Medical Center,520 E 6th St,Odessa,ECTOR,300
Sunflower Rx,700 N Grant Ave Ste 150,Odessa,ECTOR,100
Texas Tech Health Sciences Center,800 West 5th Street,Odessa,ECTOR,300
Albertsons Pharmacy,2200 N Yarbrough,El Paso,EL PASO,200
Bowen Pediatrics,810 E Redd Rd Ste D,El Paso,EL PASO,200
Candelaria Medical Center,8269 N Loop Dr,El Paso,EL PASO,100
Centro De Salud Lisbon,200 Lisbon Street,El Paso,EL PASO,100
Centro San Vicente - El Paso,8061 Alameda Ave,El Paso,EL PASO,100
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,1000
Del Sol Campus Of Lpds,10301 Gateway Blvd W,El Paso,EL PASO,1000
El Paso Children's Hospital,4845 Alameda Ave,El Paso,EL PASO,700
El Paso Drive Iz Clinic El Paso Dph,5115 El Paso Dr,El Paso,EL PASO,100
"El Paso Wellness Associates, LLC",1600 N Lee Trevino,El Paso,EL PASO,100
Family Medicine Associates of El Paso,9398 Viscount Blvd,El Paso,EL PASO,200
Galo A Rodarte Md Pa,400 E Robinson Ave,El Paso,EL PASO,200
Immunize El Paso - El Paso,6292 Trowbridge Dr,El Paso,EL PASO,1100
Las Palmas Medical Center,1801 N Oregon St,El Paso,EL PASO,1100
Life Ambulance Service Inc.,5720 Trowbridge Dr,El Paso,EL PASO,200
Pediatric Group Of Central El Paso - 4659 Cohen,4659 Cohen Ave Unit B,El Paso,EL PASO,100
Pediatric Group Of Central El Paso - Gus Rallis,181 Gus Rallis Dr,El Paso,EL PASO,100
Savon 1006,5200 MONTANA AVE,El Paso,EL PASO,200
Savon 1936,3100 MESA ST,El Paso,EL PASO,200
Savon 2016,11320 MONTWOOD DR,El Paso,EL PASO,100
Savon 2994,5630 NORTH DESERT BLVD.,El Paso,EL PASO,200
Savon 3932,7022 N. MESA ST,El Paso,EL PASO,200
Sun City Emergency Room,351 E. Redd Road,El Paso,EL PASO,100
Texas Department of Criminal Justice SANCHEZ,3901 State Jail Road,El Paso,EL PASO,100
Texas Tech Family And Community Medicine,9849 Kenworthy St,El Paso,EL PASO,100
Umc El Paso Clinic Ysleta,300 S Zaragoza Rd,El Paso,EL PASO,600
Umc Neighborhood Healthcare Center West,6600 N Desert Blvd,El Paso,EL PASO,600
Umc Nhc East,1521 Joe Battle Blvd.,El Paso,EL PASO,600
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,1950
Walgreens Pharmacy 06542,1100 Geronimo Dr,El Paso,EL PASO,100
Wellmed Management,7430 Remcon Circle,El Paso,EL PASO,100
Ysleta Del Sur Pueblo,9314 Juanchido Lane,El Paso,EL PASO,200
Umc El Paso Neighborhood Health Fabens,101 Potasio,Fabens,EL PASO,600
Ennis Regional Medical Center,2201 W Lampasas St,Ennis,ELLIS,100
HEB Pharmacy 107,101 S Clay St,Ennis,ELLIS,100
"Hometown Drug, Inc.",718 W Lampasas St,Ennis,ELLIS,100
