,Provider Name,Address,City,County,"Total
Doses"
100,Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA,700
101,Brazoria County Health Department-Lake Jackson,202 Peach St,Lake Jackson,BRAZORIA,300
102,"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,Pearland,BRAZORIA,300
103,Texas Department of Criminal Justice DARRINGTON,59 Darrington Rd,Rosharon,BRAZORIA,400
104,FE Medical Services PLLC Cllge Stn,Reynolds Medical Building Suite 159,College Station,BRAZOS,975
105,Community Action Health Center- Brooks,1302 S St Marys St Ste A,Falfurrias,BROOKS,100
106,Dshs Falfurrias,1200 E Highway 285,Falfurrias,BROOKS,200
107,United Pharmacy 554,300 E Commerce St,Brownwood,BROWN,100
108,Healthpoint Somerville,600 Memory Lane,Somerville,BURLESON,100
109,United Pharmacy 578,505 S Access Rd W,Clyde,CALLAHAN,100
110,Resourcecare Cross Plains,301 S Main St,Cross Plains,CALLAHAN,100
111,Medical Center Of Dimmitt,300 W Halsell St,Dimmitt,CASTRO,400
112,Bayside Clinic,621 S. Ross Sterling,Anahuac,CHAMBERS,100
113,Texas Department of Criminal Justice Skyview,379 FM 2972,Rusk,CHEROKEE,200
114,Christus Santa Rosa Hospital New Braunfels,600 North Union Ave,New Braunfels,COMAL,100
115,Comal County Public Health Office (Re),1297 Church Hill Drive,New Braunfels,COMAL,500
116,Comanche County Medical Center,10201 Highway 16,Comanche,COMANCHE,975
117,Crane County Rural Health Clinic,1310 S Alford St,Crane,CRANE,975
118,Crosbyton Clinic Hosptital,710 W Main St,Crosbyton,CROSBY,975
119,Van Horn Rural Health Clinic,Eisenhower Rd Fm 2185,Van Horn,CULBERSON,200
120,Los Barrios Unidos Community Clinic,4732 W. Illinois Ave.,Dallas,DALLAS,100
121,Parkland Health And Hospital/Homes,4811 Harry Hines Blvd.,Dallas,DALLAS,100
122,Walmart Pharmacy 471,150 N Interstate 35 E,Lancaster,DALLAS,400
123,Health Services Of North Texas,4304 Mesa Dr,Denton,DENTON,100
124,Community Action Health Center - Duval,115 W Main St,Benavides,DUVAL,100
125,Odessa Regional Medical Center,520 E 6th St,Odessa,ECTOR,400
126,Centro De Salud Familiar La Fe Inc/Adult Satellite Clinic,823 E Yandell Dr,El Paso,EL PASO,100
127,Centro De Salud Familiar Lafe,700 S Ochoa St,El Paso,EL PASO,100
128,Child And Adolescent Wellness Center - El Paso - 721 S Ochoa721 S Ochoa St,,El Paso,EL PASO,100
129,Dshs Phr 9 /10 Hq - El Paso (Re),401 E Franklin Ave Ste 210,El Paso,EL PASO,200
130,Project Vida Nafzger Health Clinic,3612 Pera Ave,El Paso,EL PASO,100
131,The University of Texas at El Paso,500 W. University Ave,El Paso,EL PASO,975
132,Centro De Salud Familiar La Fe,12101 Socorro Rd.,San Elizario,EL PASO,100
133,DSHS Marlin,217 Williams St,Marlin,FALLS,300
134,Ft Bend Family Hlth Ctr Accesshealth - Missouri City,307 Texas Pkwy Ste 100,Missouri City,FORT BEND,100
135,Texas Department of Criminal Justice Jester IV,4 Jester Rd.,Richmond,FORT BEND,200
136,Ft Bend Family Hlth Ctr Accesshealth - Stafford,10435 Greenbough Dr Ste 300,Stafford,FORT BEND,100
137,Frio Regional Hospital,200 S Interstate 35,Pearsall,FRIO,975
138,Bacliff Community Health Center,1136 Grand Ave,Bacliff,GALVESTON,100
139,Fresenius Dickinson Dialysis,3800 Hughes Ct,Dickinson,GALVESTON,975
140,League City Integrated Pediatrics - 061457,2360 Gulf Fwy S Ste 100-C,League City,GALVESTON,100
141,Coastal Health & Wellness,9850 Emmett F. Lowry Expressway,Texas City,GALVESTON,100
142,United Pharmacy 528,1420 NORTH HOBART,Pampa,GRAY,100
143,Healthpoint Navasota,1905 Dove Crossing Ln Ste C,Navasota,GRIMES,100
144,City of Schertz EMS,1400 Schertz Parkway,Schertz,GUADALUPE,975
145,Hansford County Hospital District (Hospital),707 Roland St,Spearman,HANSFORD,200
146,Lhd Hardin County Health Department (Re),1135 Redwood,Kountze,HARDIN,500
147,Dshs Hsr 6/5s Hq - Houston (Re),5425 Polk St Ste 420,Houston,HARRIS,600
148,El Centro De Corazon Magnolia Clinic,7037 Capitol St,Houston,HARRIS,100
149,Hacs-Bautista Pediatric Health Center,902 Frostwood Dr.,Houston,HARRIS,100
150,Legacy Community Health,6677 Rookin St,Houston,HARRIS,100
151,Legacy Community Health Northline Center,5598 North Fwy # A1,Houston,HARRIS,100
152,Lone Star Circle Of Care At The University Of Houston,4849 Calhoun Road,Houston,HARRIS,100
153,Scarsdale Family Health Center,10851 Scarsdale Blvd Ste 160,Houston,HARRIS,100
154,TCH Main,6621 Fannin St Mc 22510,Houston,HARRIS,3900
155,UT MD Anderson Cancer Center,1515 Holcombe Blvd,Houston,HARRIS,4875
156,Walgreens Pharmacy 06182,15111 Wallisville Rd,Houston,HARRIS,400
157,Walgreens Pharmacy 06907,6600 Airline Dr,Houston,HARRIS,400
158,Spring Branch Community Health Center Katy,5502 1st Street,Katy,HARRIS,100
159,University Of Texas Medical Branch - Clear Lake,200 Blossom,Webster,HARRIS,975
160,Marshall-Harrison County Health District (Re),805 Lindsey Dr,Marshall,HARRISON,500
161,United Pharmacy 534,1601 Tennessee Ave,Dalhart,HARTLEY,100
162,Kyle Communicare Health Center,2810 Dacy Ln,Kyle,HAYS,975
163,Family Circle Of Care Athens,1001 N Palestine St,Athens,HENDERSON,100
164,Nuestra Clinica Del Valle - Edinburg,301 N 87th St,Edinburg,HIDALGO,100
165,Nuestra Clinica Del Valle - Mission,611 N Bryan Rd,Mission,HIDALGO,100
166,Nuestra Clinica Del Valle,806 W 3rd Street,San Juan,HIDALGO,100
167,Lamesa Primary Clinic,1502 N Avenue K,Lamesa,HOCKLEY,100
168,DSHS Granbury,214 N Travis St,Granbury,HOOD,100
169,Christus Trinity Clinic - Sulphur Springs,"105 Medical Plaza, Building 1",Sulphur Springs,HOPKINS,700
170,Walmart Pharmacy 513,201 W Marcy Dr,Big Spring,HOWARD,200
171,Heb Pharmacy 351,103 W Elm St,Edna,JACKSON,300
172,Jackson County Hospital District,1013 S Wells,Edna,JACKSON,975
173,Brookshires Pharmacy 76 - Ganado,305 W York,Ganado,JACKSON,300
174,Gulf Coast Health Center Inc.,2548 Memorial Blvd,Port Arthur,JEFFERSON,100
175,Lhd Port Arthur City Health Dept (Re),449 Austin Ave,Port Arthur,JEFFERSON,300
176,Cacost- Community Health Center - Alice,700 Flournoy Rd,Alice,JIM WELLS,100
177,DSHS Mobile Nurse Alice,408 Flournoy Rd,Alice,JIM WELLS,200
178,DSHS Cleburne,108 E Kilpatrick St,Cleburne,JOHNSON,100
179,DSHS Anson,2062 Us Hwy 277 North,Anson,JONES,100
180,Otto Kaiser Memorial Hopsital,3349 South Highway 181,Kenedy,KARNES,400
181,DSHS Kaufman,2525 E. Hwy 175,Kaufman,KAUFMAN,100
182,Community Action Health Center- Kleberg,1311 E General Cavazos Blvd Ste 303 Kingsville,,KLEBERG,100
183,DSHS Kingsville,100 West King Avenue,Kingsville,KLEBERG,100
184,Lhd Paris-Lamar Co Health Dept (Re),400 W Sherman St,Paris,LAMAR,400
185,Healthpoint Centerville,607 W Lassater,Centerville,LEON,100
186,Ttuhsc-Son Combest Center,301 40th St,Lubbock,LUBBOCK,100
187,Healthpoint Madisonville,100 W Cross St,Madisonville,MADISON,100
188,Mehop Family And Behavioral Health,1700 Golden Ave,Bay City,MATAGORDA,100
189,Dshs Phr 9/10 Brady,1004 S Bridge St,Brady,MCCULLOCH,100
190,Mcgregor Community & Dental Clinic,500 Johnson Dr,McGregor,MCLENNAN,100
191,Bellmead Community Clinic,3400 Bellmead Dr,Waco,MCLENNAN,100
192,Bells Hill Community Clinic,911 S 20th St,Waco,MCLENNAN,100
193,Community Clinic At Mcc,4601 North 19th Street,Waco,MCLENNAN,100
194,Elm Avenue Community & Dental Clinic,609 Elm St,Waco,MCLENNAN,100
195,Family Health Center - Waco,1600 Providence Dr,Waco,MCLENNAN,100
196,West Waco Community Clinic - Waco,600 West Hwy 6,Waco,MCLENNAN,100
197,DSHS Midland,1101 N. Midland Dr.,Midland,MIDLAND,200
198,Midland Community Healthcare Services - Midland 2,4214 Andrews Hwy,Midland,MIDLAND,100
199,Healthpoint Rockdale,1701 Pecos Ave Ste B,Rockdale,MILAM,100
200,Nocona General Hospital,100 Park Rd,Nocona,MONTAGUE,975
201,Nacogdoches Med Cntr Hsptl Phrmcy,4920 Ne Stallings Dr,Nacogdoches,NACOGDOCHES,1200
202,LHD Corsicana-Navarro Public Health District (RE),618 N Main,Corsicana,NAVARRO,600
203,Lhd Sweetwater-Nolan Co Health Dept (Re),301 E 12th St,Sweetwater,NOLAN,600
204,Dshs Mobile Nurse Corpus,5155 Flynn Pkwy Ste 419,Corpus Christi,NUECES,200
205,United Pharmacy 525,2802 Hwy 83 South,Perryton,OCHILTREE,100
206,Walmart Pharmacy 283,795 Texas Ave,Bridge City,ORANGE,100
207,Kroger Pharmacy 950,1600 N 16th St,Orange,ORANGE,100
208,Walgreens Pharmacy 03081,1408 N 16th St,Orange,ORANGE,100
209,Brookshires Pharmacy 270,1380 N Main St,Vidor,ORANGE,100
210,DSHS Mineral Wells,4113 Highway 180 E,Mineral Wells,PALO PINTO,100
211,Dshs Livingston,410 E Church St,Livingston,POLK,200
212,Texas Department of Criminal Justice CLEMENTS,9601 Spur 591,Amarillo,POTTER,200
213,Dshs Marfa,205 E El Paso St,Marfa,PRESIDIO,200
214,United Pharmacy 532,201 N 23rd St,Canyon,RANDALL,100
215,Healthpoint Franklin,808 W Us Highway 79,Franklin,ROBERTSON,100
216,Healthpoint In Hearne,709 Barton St,Hearne,ROBERTSON,100
217,The Health Center Of Helping Hands,401 W Rusk St Ste 100,Rockwall,ROCKWALL,400
218,DSHS Ballinger,2017 Hutchins Avenue,Ballinger,RUNNELS,100
219,Brookshires Pharmacy 72 - Coldspring,14761 Hwy 150 West,Coldspring,SAN JACINTO,200
220,Heb Pharmacy 333,101 E Goodnight Ave,Aransas Pass,SAN PATRICIO,500
221,HEB Pharmacy 488,1600 Wildcat Dr,Portland,SAN PATRICIO,500
222,Cogdell Family Clinic,1700 Cogdell Blvd,Snyder,SCURRY,975
223,DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,Tyler,SMITH,700
224,Tyler Family Circle Of Care - Tyler - 214 E. Houston,214 E Houston St,Tyler,SMITH,100
225,Dshs Rio Grande City,608 N Garza St,Rio Grande City,STARR,100
226,Nuestra Clinica Del Valle - Rio Grande,600 N Garza St Ste A,Rio Grande City,STARR,100
227,Starr Co Memorial Hosp Rural Health,128 N Fm 3167,Rio Grande City,STARR,400
228,Clinicas Mi Doctor - Arlington,941 E Park Row Dr,Arlington,TARRANT,400
229,Dshs Hsr 2/3 Hq - Arlington (Re),1301 S Bowen Rd,Arlington,TARRANT,100
230,Jps Hospital,1500 South Main St,Fort Worth,TARRANT,4875
231,Walmart Pharmacy 284,930 N Walnut Creek Dr Ste 800,Mansfield,TARRANT,400
232,TTUHSC Combest Abilene Community Health Center,1749 Pine St,Abilene,TAYLOR,100
233,Resourcecare Merkel,217 Edwards,Merkel,TAYLOR,100
234,Brownfield Regional Medical Center,705 E Felt St,Brownfield,TERRY,975
235,United Pharmacy 536,1401 Tahoka Rd,Brownfield,TERRY,100
236,Throckmorton Rural Health Clinic,802 N Minter Ave Ste B,Throckmorton,THROCKMORTON,100
237,Titus Regional Medical Center,2001 North Jefferson,Mount Pleasant,TITUS,400
238,Wellness Pointe - Mount Pleasant,2015 Mulberry Ave Ste 250,Mount Pleasant,TITUS,100
239,"La Esperanza Clinic,Inc.",35 E 31st St,San Angelo,TOM GREEN,100
240,Carousel Pediatrics Wm Cannon,6425 S Interstate 35 Ste 100,Austin,TRAVIS,100
241,Communitycare Rundberg,825 E Rundberg Ln Ste B1,Austin,TRAVIS,100
242,Lone Star Circle Of Care At El Buen Samaritano,7000 Woodhue Dr,Austin,TRAVIS,100
243,Lone Star Circle Of Care Ben White,1221 W Ben White Blvd # B100,Austin,TRAVIS,100
244,Lscc Fam Care Ctr Nw Fp,11111 Research Blvd Ste 320,Austin,TRAVIS,100
245,Texas Department of Criminal Justice Travis Cty,8101 FM 969,Austin,TRAVIS,200
246,Healthpoint Trinity,315 Prospect Dr,Trinity,TRINITY,975
247,Wellness Pointe/Gilmer 040509,602 Titus St Ste 130,Gilmer,UPSHUR,100
248,DSHS Uvalde,112 Joe Carper Dr,Uvalde,UVALDE,200
249,Val Verde Rural Health Clinic,1801 N. Bedell,Del Rio,VAL VERDE,975
250,Texas Department of Criminal Justice GOREE,7405 Hwy 75 South,Huntsville,WALKER,200
251,Healthpoint Hempstead,215 Fm 1488 Rd,Hempstead,WALLER,100
252,Webb County Indigent Health Care,1620 Santa Ursula Ave.,Laredo,WEBB,100
253,Heb Pharmacy 233,1616 N Alabama Rd,Wharton,WHARTON,400
254,Mehop Wharton,10141 Us 59 Hwy Ste A,Wharton,WHARTON,100
255,LHD Wichita Falls-Wichita CO PH Dist (RE),1700 3rd Street,Wichita Falls,WICHITA,1950
256,United Pharmacy 513,3000 Wilbarger St,Vernon,WILBARGER,100
257,Dshs raymondville,174 s. 13 th,Raymondville,WILLACY,200
258,Family Health And Wellness At Lake Aire,2423 Williams Dr,Georgetown,WILLIAMSON,100
259,Lake Aire Med Ctr Sr Health Wellnes,2423 Williams Dr Ste 113,Georgetown,WILLIAMSON,100
260,Carousel Pediatrics Round Rock,1201 S Interstate 35 Ste 303,Round Rock,WILLIAMSON,100
261,Lscc Tamu Hlth Science Ctr Family Hlth,3950 N A W Grimes Blvd # 301,Round Rock,WILLIAMSON,100
262,Wilson Community Health Center,540 10th St Ste 140,Floresville,WILSON,300
263,Dshs Zapata,1305 Kennedy Street,Zapata,ZAPATA,200
