"","Provider_Name","Address","County","City","Doses_W1","Doses_W2","Doses_W3","Doses_W4","Doses_W5","Doses_W6","Doses_W7","Doses_W8","lon","lat","Sum"
"81","Austin Regional Clinic - Leander","901 Crystal Falls Pkwy Ste 103","WILLIAMSON","Leander",NA,500,NA,500,NA,NA,NA,NA,-97.8553177,30.5534424,1000
"82","Austin Regional Clinic - Manor","11300 Us Highway 290 E Ste 230 Bldg 2","TRAVIS","Manor",NA,500,NA,NA,NA,NA,NA,NA,-97.5541565,30.3499283,500
"83","Austin Regional Clinic - Pflugerville","15803 Windermere Dr Ste 103","TRAVIS","Pflugerville",NA,500,NA,NA,NA,NA,NA,NA,-97.6473093,30.4470248,500
"84","Austin Regional Clinic - Quarry Lake","4515 Seton Center Pkwy Ste 220","TRAVIS","Austin",NA,500,NA,500,NA,NA,NA,NA,-97.7429186,30.4017303,1000
"85","Austin Regional Clinic - Round Rock","940 Hesters Crossing Rd","WILLIAMSON","Round Rock",NA,300,NA,NA,NA,NA,NA,NA,-97.6897519,30.4847241,300
"86","Austin Regional Clinic - Sendero Springs","1025 Sendero Springs Dr Ste 120","WILLIAMSON","Round Rock",NA,500,NA,NA,NA,NA,NA,NA,-97.7372068,30.5498757,500
"87","Austin Regional Clinic - South","3828 S 1st St","TRAVIS","Austin",NA,300,NA,NA,NA,NA,NA,NA,-97.7695575,30.2273083,300
"88","Austin State Hospital",NA,"TRAVIS","Austin",975,NA,NA,NA,NA,NA,NA,NA,-97.7355015,30.3083408,975
"89","AV Rehab, LLC","2902 S. 77 Sunshine Strip","CAMERON","Harlingen",NA,100,NA,NA,NA,NA,NA,NA,-97.6671345,26.1669059,100
"90","Avenue 360 Health And Wellness Humble","9816 Memorial Blvd Ste 120","HARRIS","Humble",NA,NA,NA,100,NA,NA,NA,NA,-95.2749757,29.993622,100
"91","Bacliff Community Health Center","1136 Grand Ave","GALVESTON","Bacliff",NA,NA,NA,NA,NA,100,NA,NA,-94.9942172,29.4997055,100
"92","Ballinger Hospital Clinic","2001 Hutchins Ave Ste C","RUNNELS","Ballinger",NA,200,NA,NA,NA,NA,NA,NA,-99.9607415,31.7215423,200
"93","Ballinger Memorial Hospital District","608 Ave B","RUNNELS","Ballinger",NA,NA,100,NA,NA,NA,NA,NA,-99.9629259,31.750092,100
"94","Bandera Family Health","7579 N Loop 1604 W Ste 100","BEXAR","San Antonio",NA,100,NA,NA,NA,NA,NA,NA,-98.6412139,29.5827795,100
"95","Baptist Hospitals of Southeast Texas","3080 College St","JEFFERSON","Beaumont",975,975,100,NA,NA,NA,NA,NA,-94.1197861,30.0707723,2050
"96","Baptist Medical Center","111 Dallas Street","BEXAR","San Antonio",975,975,NA,NA,NA,NA,NA,NA,-98.4927788,29.4337636,1950
"97","Bastrop Family Practice","275 Jackson St","BASTROP","Bastrop",NA,NA,NA,NA,NA,100,NA,100,-97.3061798,30.1000215,200
"98","Bay Colony Pediatrics","2251 Fm 646 Rd W","GALVESTON","Dickinson",NA,NA,NA,100,NA,NA,NA,NA,-95.0954596,29.459418,100
"99","Baylor College Of Medicine","1 Baylor Plz Stop Bcm-667","HARRIS","Houston",NA,3000,NA,1000,NA,NA,NA,3900,-95.396499,29.7105296,7900
"100","Baylor Orthopedic And Spine Hospital At Arlington","707 Highlander Blvd","TARRANT","Arlington",NA,200,100,NA,NA,NA,NA,NA,-97.1168429,32.6829476,300
"101","Baylor Scott & White Hospital - Grapevine",NA,"TARRANT","Grapevine",975,NA,NA,NA,NA,NA,NA,NA,-96.6824261,33.2211103,975
"102","Baylor Scott & White Medical Center - College Station","700 Scott And White Dr","BRAZOS","College Station",NA,NA,200,NA,NA,NA,NA,NA,-96.2795053,30.5822251,200
"103","Baylor Scott & White Medical Center - College Station",NA,"BRAZOS","College Station",975,NA,NA,NA,NA,NA,NA,NA,-96.6824261,33.2211103,975
"104","Baylor Scott & White Medical Center - Plano","4700 Alliance Blvd","COLLIN","Plano",NA,700,100,NA,1000,975,3900,9750,-96.790729,33.0133231,16425
"105","Baylor Scott & White Medical Center Sunnyvale","231 S Collins Rd","DALLAS","Sunnyvale",NA,400,100,NA,NA,NA,NA,NA,-96.5692005,32.7789657,500
"106","Baylor Scott & White Pharmacy #101","3600 Gaston Avenue","DALLAS","Dallas",NA,900,NA,NA,NA,NA,NA,NA,-96.7797246,32.7910016,900
"107","Baylor Scott And White All Saints Medical Center - Fo","1400 8th Ave","TARRANT","Fort Worth",NA,NA,900,NA,NA,NA,NA,NA,-97.345135,32.7296584,900
"108","Baylor Scott And White All Saints Medical Center - Fort Worth",NA,"TARRANT","Fort Worth",975,NA,NA,NA,NA,NA,NA,NA,-97.345412,32.7296877,975
"109","Baylor Scott and White Healthcare","2005 W. Wallace","SAN SABA","San Saba",NA,100,NA,NA,NA,NA,NA,NA,-98.7391257,31.1951933,100
"110","BAYLOR SCOTT AND WHITE HQ","2401 S 31st Street","BELL","Temple",NA,NA,NA,1950,NA,NA,NA,NA,-97.3639792,31.0776472,1950
"111","Baylor Scott and White Hsptl Grapevine","1650 W College St Ste 119","TARRANT","Grapevine",NA,NA,100,NA,NA,NA,NA,NA,-97.0935488,32.9341295,100
"112","Baylor Scott and White MC Mckinney","5252 W University Dr","COLLIN","McKinney",NA,800,100,NA,100,NA,NA,NA,-96.6824261,33.2211103,1000
"113","Baylor Scott And White Medical Center - Centennial","12505 Lebanon Rd","COLLIN","Frisco",NA,300,100,NA,100,NA,NA,NA,-96.7709774,33.1141843,500
"114","Baylor Scott And White Medical Center - Irving",NA,"DALLAS","Irving",975,NA,NA,NA,NA,NA,NA,NA,-96.961023,32.8350489,975
"115","Baylor Scott And White Medical Center - Lake Pointe","6800 Scenic Dr","ROCKWALL","Rowlett",NA,700,NA,NA,NA,NA,NA,NA,-96.5087101,32.9181073,700
"116","Baylor Scott And White Medical Center - Waxahachie","2400 N. I-35e","ELLIS","Waxahachie",NA,700,NA,NA,NA,NA,NA,5000,-96.8612172,32.3716266,5700
"117","Baylor Scott And White Round Rock Family Medicine","425 University Blvd Ste 500","WILLIAMSON","Round Rock",NA,500,NA,NA,NA,NA,NA,NA,-97.6810101,30.5587911,500
"118","Baylor Scott White Health MC Round Rock","300 University Blvd","WILLIAMSON","Round Rock",NA,NA,400,NA,NA,NA,NA,NA,-97.6846195,30.5634437,400
"119","Baylor Scott White Health MC Round Rock",NA,"WILLIAMSON","Round Rock",975,NA,NA,NA,NA,NA,NA,NA,-97.6850782,30.5630963,975
"120","Baylor Scott White Institute Rehabilation Frisco","2990 Legacy Drive","DENTON","Frisco",NA,NA,300,NA,NA,NA,NA,NA,-96.8399012,33.1031899,300
"121","Baylor Scott White Med Ctr Hillcrest","100 Hillcrest Medical Blvd","MCLENNAN","Waco",NA,NA,600,NA,NA,NA,NA,NA,-97.1576467,31.4890708,600
"122","Baylor Scott White Med Ctr Hillcrest",NA,"MCLENNAN","Waco",975,NA,NA,NA,NA,NA,NA,NA,-97.1576467,31.4890708,975
"123","Baylor Surgicare at Blue Star LLC","3800 Gaylord Parkway","DENTON","Frisco",NA,NA,NA,NA,100,NA,NA,NA,-96.8258884,33.1101244,100
"124","Baylor University Med Cntr Dallas","3500 Gaston Ave","DALLAS","Dallas",NA,NA,2975,NA,1000,4875,4875,4875,-96.7792576,32.790788,18600
"125","Baylor University Med Cntr Dallas",NA,"DALLAS","Dallas",2925,NA,NA,NA,NA,NA,NA,NA,-96.7819106,32.7914389,2925
"126","Baylor University Student Health Services","209 Speight Ave Fl 2","MCLENNAN","Waco",NA,200,NA,100,NA,NA,NA,NA,-97.1142761,31.5476315,300
"127","BaylorScottandWhiteMedicalCenter-Temple","2401 S 31st Street","BELL","Temple",3900,975,500,NA,NA,NA,NA,NA,-97.3639792,31.0776472,5375
"128","Bayside Clinic","621 S. Ross Sterling","CHAMBERS","Anahuac",NA,NA,NA,NA,NA,100,NA,NA,-94.6708945,29.7804832,100
"129","Beaumont Elite Emergency Center LLC","4004 College Street","JEFFERSON","Beaumont",NA,NA,NA,NA,100,NA,NA,NA,-94.1356343,30.0687672,100
"130","Beaumont Family Practice","6450 Folsom Dr","JEFFERSON","Beaumont",NA,500,NA,NA,NA,NA,NA,NA,-94.1812159,30.1156135,500
"131","Beaumont Health Department","3040 College St","JEFFERSON","Beaumont",NA,NA,100,NA,NA,NA,NA,500,-94.1183154,30.0690719,600
"132","Bell County Public Health District","509 S 9th St","BELL","Temple",NA,NA,NA,NA,3900,NA,NA,NA,-97.3477313,31.092511,3900
"133","Bellaire Dermatology Associates, PA","6565 West Loop South","HARRIS","Bellaire",NA,500,NA,300,NA,NA,NA,NA,-95.4589834,29.7099195,800
"134","Bellmead Community Clinic","3400 Bellmead Dr","MCLENNAN","Waco",NA,NA,NA,NA,NA,100,NA,NA,-97.0981561,31.5926208,100
"135","Bells Hill Community Clinic","911 S 20th St","MCLENNAN","Waco",NA,NA,NA,NA,NA,100,NA,NA,-97.1379036,31.5377088,100
"136","Bellville Medical Center","44 N. Cummings St.","AUSTIN","Bellville",NA,NA,NA,100,100,NA,NA,NA,-96.2601684,29.9531252,200
"137","BELTLINE SURGERY CENTER","2858 N. BELTLINE ROAD","DALLAS","Sunnyvale",NA,NA,NA,100,NA,NA,NA,NA,-96.5951071,32.8038395,100
"138","Ben Taub General Hospital","1504 Taub Loop","HARRIS","Houston",1950,975,2075,1950,300,NA,NA,3900,-95.3947226,29.7110546,11150
"139","BERG & MINIGUTTI PLLC","8000 ELDORADO PKWY","COLLIN","McKinney",NA,500,NA,200,NA,NA,NA,NA,-96.7224738,33.1766132,700
"140","Berkeley Eye Center","3100 Weslayan","HARRIS","Houston",NA,500,NA,NA,NA,NA,NA,NA,-95.4419929,29.736916,500
"141","Best Value Hometown Pharmacy","1702 Santa Fe Dr","PARKER","Weatherford",NA,NA,NA,100,NA,NA,NA,NA,-97.7738244,32.7393918,100
"142","Best Value Renshaw Pharmacy","800 Medical Center Dr Ste A","WISE","Decatur",NA,NA,NA,200,NA,NA,NA,NA,-97.594946,33.2190434,200
"143","Best Value Ridglea Pharmacy","5932 Lovell Ave","TARRANT","Fort Worth",NA,NA,NA,100,NA,NA,NA,NA,-97.413084,32.731559,100
"144","Best Value Royce's Pharmacy","502 N Main St","JOHNSON","Cleburne",NA,NA,NA,100,NA,NA,NA,NA,-97.3875561,32.351331,100
"145","Best Value West Pharmacy","124 W Renfro","JOHNSON","Burleson",NA,NA,NA,100,NA,NA,NA,NA,-97.3223914,32.5432323,100
"146","Big Bend Regional Health Center","2600 Highway North 118","BREWSTER","Alpine",NA,NA,NA,NA,200,NA,NA,300,-103.6707443,30.3842098,500
"147","Big Spring State Hospital","1901 N Us Highway 87","HOWARD","Big Spring",NA,500,100,NA,200,NA,NA,NA,-101.4971037,32.2713178,800
"148","Bis Community Clinic","22140 Highway 90 N","GRIMES","Bedias",NA,NA,NA,NA,100,NA,NA,NA,-95.9497026,30.7746912,100
"149","Bluitt-Flowers Clinic","303 E Overton Rd","DALLAS","Dallas",NA,NA,NA,NA,200,NA,100,NA,-96.8196085,32.7015688,300
"150","Bowen Pediatrics","810 E Redd Rd Ste D","EL PASO","El Paso",NA,NA,NA,200,NA,NA,NA,NA,-106.5517319,31.8604827,200
"151","Brady Medical Clinic","2010 Nine Rd","MCCULLOCH","Brady",NA,NA,NA,200,NA,NA,NA,NA,-99.346663,31.1164048,200
"152","Brazoria County Health Department","434 E Mulberry St","BRAZORIA","Angleton",NA,NA,NA,100,NA,700,700,1000,-95.4278825,29.1643744,2500
"153","Brazoria County Health Department-Lake Jackson","202 Peach St","BRAZORIA","Lake Jackson",NA,NA,NA,100,NA,300,NA,NA,-95.4277631,29.0198421,400
"154","BRAZORIA COUNTY HEALTH DEPT ALVIN","260 GEORGE ST","BRAZORIA","Alvin",NA,300,NA,NA,NA,700,700,NA,-95.2452852,29.4152749,1700
"155","Brazoria County Health Dept., Pearland","2436 South Grand Blvd.","BRAZORIA","Pearland",NA,NA,NA,NA,NA,300,NA,NA,-95.2843277,29.5622701,300
"156","Brazos County Health And Wellness","300 E Wm J Bryan Pkwy Ste 200","BRAZOS","Bryan",NA,NA,NA,100,NA,NA,NA,NA,-96.375508,30.6754376,100
"157","Breckenridge Medical Center","101 S. Hartford","STEPHENS","Breckenridge",NA,NA,NA,100,NA,NA,NA,NA,-98.8865508,32.7554567,100
"158","Brenham Drug Partners","2105 S Day Street","WASHINGTON","Brenham",NA,NA,NA,100,NA,NA,NA,NA,-96.3961942,30.1490776,100
"159","Briggs Family Medicine","910 Gruene Rd","COMAL","New Braunfels",NA,100,NA,NA,NA,NA,NA,NA,-98.1033099,29.7274708,100
"160","Brookshire's Pharmacy #019","1105 W South Commerce St","VAN ZANDT","Wills Point",NA,100,NA,NA,NA,NA,NA,NA,-96.0200347,32.7074993,100
"161","Brookshire's Pharmacy 008","747 Us Highway 259 N","GREGG","Kilgore",NA,100,NA,NA,NA,NA,NA,NA,-94.6367581,33.5065532,100
"162","Brookshire's Pharmacy 011","807 E Tyler St","HENDERSON","Athens",NA,100,NA,NA,NA,NA,NA,100,-95.8416478,32.2068927,200
"163","Brookshire's Pharmacy 013","809 Gilmer Rd.","HOPKINS","Sulphur Springs",NA,100,NA,100,NA,NA,NA,NA,-95.6002985,33.1274168,200
"164","Brookshire's Pharmacy 015","1478 N Beaulah St","WOOD","Hawkins",NA,100,NA,100,NA,NA,NA,NA,-95.2066461,32.60643,200
"165","Brookshire's Pharmacy 9","2020 Roseland Blvd","SMITH","Tyler",NA,100,NA,NA,NA,NA,NA,NA,-95.2979859,32.3271289,100
"166","Brookshire Brothers Pharmacy #64","34692 Us Highway 96 S","JASPER","Buna",NA,100,NA,NA,NA,NA,NA,NA,-93.968279,30.447282,100
"167","Brookshire Brothers Pharmacy #9","5249 Franz Rd","HARRIS","Katy",NA,500,NA,NA,NA,NA,NA,NA,-95.8099221,29.8002846,500
"168","Brookshires Pharmacy 002","706 W Main St","VAN ZANDT","Van",NA,100,NA,NA,NA,NA,NA,200,-95.6465345,32.525559,300
"169","Brookshires Pharmacy 005","1203 Us Highway 380","WISE","Bridgeport",NA,100,NA,100,NA,NA,NA,NA,-97.754872,33.2243835,200
"170","Brookshires Pharmacy 014","925 Clarksville St","LAMAR","Paris",NA,100,NA,100,NA,NA,NA,NA,-95.5461427,33.6606244,200
"171","Brookshires Pharmacy 023","1400 W. Moore St.","KAUFMAN","Terrell",NA,100,NA,100,NA,NA,NA,NA,-96.2988336,32.738779,200
"172","Brookshires Pharmacy 028","2734 E 5th St","SMITH","Tyler",NA,100,NA,NA,NA,NA,NA,NA,-95.2651152,32.3328216,100
"173","Brookshires Pharmacy 030","2107 S Loop 256","ANDERSON","Palestine",NA,100,NA,NA,NA,NA,NA,NA,-95.6108893,31.7368514,100
"174","Brookshires Pharmacy 031","1224 N Pacific St","WOOD","Mineola",NA,100,NA,100,NA,NA,NA,NA,-95.4835158,32.676035,200
