Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum,lon,lat
Altus Baytown Hospital,14120 FM 2100,HARRIS,Crosby,NA,500,NA,NA,NA,NA,500,-93.9613011,35.9035747
Altus Baytown Hospital,6501 Garth Rd,HARRIS,Baytown,NA,400,NA,NA,NA,NA,400,-93.968279,35.8649525
Altus Baytown Hospital - Kingwood,1120 Kingwood Dr,HARRIS,Kingwood,NA,NA,200,NA,NA,NA,200,-93.9747903,35.8649393
Altus Baytown Hospital - Porter,22678 Hwy. 59,MONTGOMERY,Porter,NA,NA,200,NA,NA,NA,200,-93.9863718,35.8645507
Altus Houston Hospital,7215 Fairmont Pkwy,HARRIS,Pasadena,NA,500,NA,NA,NA,NA,500,-93.9887342,35.666362
"Alvin R Gebert, MD, PA",6130 W Parker Rd,COLLIN,Plano,NA,100,NA,NA,NA,NA,100,-93.9887342,35.6599214
Amarillo Medical Specialists Llp,1215 S Coulter St Ste 400,POTTER,Amarillo,NA,300,NA,NA,NA,NA,300,-93.9962955,35.5724481
Amarillo Public Health Department,1000 Martin Rd,POTTER,Amarillo,NA,NA,NA,NA,5000,NA,5000,-94.0013578,35.5508775
"America's ER Site 001, LLC",32784 FM 2978 RD,MONTGOMERY,Magnolia,NA,400,NA,NA,NA,NA,400,-94.0063821,35.5388256
Americas ER Site 002 LLC,13902 Spring Cypress Rd,HARRIS,Cypress,NA,100,NA,NA,NA,NA,100,-94.0107118,35.44001
Amigos Pharmacy 503,112 North University Avenue,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100,-94.0144777,35.4392729
Amigos Pharmacy 508,2403 N Columbia St,HALE,Plainview,NA,NA,NA,100,NA,NA,100,-94.0167909,35.3389739
Amigos Pharmacy 524,3300 I-40 East,POTTER,Amarillo,NA,NA,NA,100,NA,NA,100,-94.02062,35.2482168
Amistad Community Health Center,1533 S Brownlee Blvd Ste 100,NUECES,Corpus Christi,NA,1300,NA,200,NA,NA,1500,-94.046913,35.2422731
Angleton Primary Care,2020 East Mulberry St,BRAZORIA,Angleton,NA,NA,NA,NA,NA,100,100,-94.0481498,35.2246226
"Annie & Chau, LP",10603 Bellaire Blvd,HARRIS,Houston,NA,500,NA,NA,NA,NA,500,-94.0510303,35.2246226
Argenal Pediatrics And Family Care,516 N Shary Rd,HIDALGO,Mission,NA,NA,NA,100,NA,NA,100,-94.0526597,35.2226685
Arise Austin Medical Center,3003 Bee Cave Road,TRAVIS,Austin,NA,NA,200,NA,NA,NA,200,-94.070983,35.2226589
Arlington Fire Department,620 W Division St.,TARRANT,Arlington,NA,3000,NA,500,NA,5000,8500,-94.0754547,35.2145616
Arthur S Hernandez Md,88 Briggs St,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100,-94.0754547,35.2017103
Ascension Medical Group Georgetown,3721 Williams Drive,WILLIAMSON,Georgetown,NA,NA,NA,100,NA,NA,100,-94.0773638,35.2007889
Ascension Medical Group Seton Primary Care,15808 Ranch Road 620 N,WILLIAMSON,Austin,NA,100,NA,NA,NA,NA,100,-94.0875947,35.2007115
Ascension Providence Hospital,6901 Medical Pkwy,MCLENNAN,Waco,NA,NA,NA,NA,1500,NA,1500,-94.0953834,35.1997117
Ascension Seton Bastrop,630 W. Sh 71,TRAVIS,Bastrop,NA,NA,100,NA,NA,NA,100,-94.1029336,35.1986478
Ascension Seton Health Center Buda,5235 Overpass Rd,HAYS,Buda,NA,NA,NA,NA,100,NA,100,-94.1097457,35.198228
Ascension Seton HIghland Lakes,3201 S. Water Street,BURNET,Burnet,NA,200,100,NA,100,NA,400,-94.1183154,35.198228
Ascension Seton Highland Lakes Burnet Clinic,200 John W Hoover Pkwy,BURNET,Burnet,NA,NA,NA,100,NA,NA,100,-94.1196357,35.196307
Ascension Seton Northwest,11113 Research Blvd,TRAVIS,Austin,NA,700,NA,NA,NA,NA,700,-94.1197861,35.1921382
Ascension Seton Southwest,7900 FM 1826,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200,-94.1222761,35.1864001
Ashley Pediatrics Day And Night Clinic,17927 Washington Palm Dr,HIDALGO,Penitas,NA,NA,NA,100,NA,NA,100,-94.1252309,35.1848821
Ashley Pediatrics Day And Night Clinic La Joya,328 A E. Expressway 83,HIDALGO,La Joya,NA,NA,NA,100,NA,NA,100,-94.1261502,35.1843644
ASPG dba CHRISTUS Promptu Urgent Care,11823 Culebra Rd,BEXAR,San Antonio,NA,1000,NA,NA,NA,NA,1000,-94.1286683,35.1789569
ASPG dba CHRISTUS Promptu Urgent Care - New Braunfels,1659 W State Highway 46,COMAL,New Braunfels,NA,2000,NA,NA,NA,NA,2000,-94.1319032,35.1771394
Atascosa Health Center Inc.,310 W Oaklawn Rd,ATASCOSA,Pleasanton,NA,NA,NA,NA,NA,100,100,-94.1321453,35.1718249
Atkins Express Pharmacy,2607 Hwy 281 N,BURNET,Marble Falls,NA,NA,NA,100,NA,NA,100,-94.1330036,35.1669628
"ATKINS PHARMACY SERVICES, INC.",701 THIRD ST,BURNET,Marble Falls,NA,200,NA,NA,NA,NA,200,-94.1356343,35.1617868
Aubrey Pharmacy,701 S Highway 377,DENTON,Aubrey,NA,100,NA,100,NA,NA,200,-94.1634445,35.1598447
"Aurora Concepts, PLLC",233 Hurst Street,SHELBY,Center,NA,100,NA,100,NA,NA,200,-94.1667914,35.1461135
AUSTIN EAR NOSE AND THROAT CLINIC,3705 Medical Pkwy,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500,-94.1701341,35.1342698
AUSTIN EAR NOSE AND THROAT CLINIC,4315 JAMES CASEY,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500,-94.1812159,35.1094532
"Austin Family Allergy & Asthma, PA",10801-2 N. Mopac Expwy,TRAVIS,Austin,NA,100,NA,NA,NA,NA,100,-94.1864175,34.9839855
Austin Public Health,15 Waller Street,TRAVIS,Austin,NA,1000,NA,NA,12000,12000,25000,-94.187738,34.9454381
Austin Public Safety Wellness Center,517 S Pleasant Valley Rd,TRAVIS,Austin,NA,1300,NA,200,NA,NA,1500,-94.187798,34.8487116
Austin Radiological Association,12554 Riata Vista Circle,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500,-94.1979229,34.8487116
Austin Regional Clinic-Buda,3420 Fm 967 Ste B100,HAYS,Buda,NA,800,NA,NA,NA,NA,800,-94.2210815,34.8395595
Austin Regional Clinic - Anderson Mill,10401 Anderson Mill Rd Ste 110b,TRAVIS,Austin,NA,500,NA,NA,NA,NA,500,-94.3118695,34.8395595
Austin Regional Clinic - Bee Cave,15801 W Highway 71 Bldg 1,TRAVIS,Bee Cave,NA,500,NA,NA,NA,NA,500,-94.3144192,34.8204544
Austin Regional Clinic - Cedar Park,801 E Whitestone Blvd Ste C,WILLIAMSON,Cedar Park,NA,500,NA,NA,NA,NA,500,-94.3453944,34.6443676
Austin Regional Clinic - Far West,6835 Austin Center Blvd,TRAVIS,Austin,NA,300,NA,NA,NA,NA,300,-94.3468765,34.5561362
Austin Regional Clinic - Hutto,151 Exchange Blvd Ste 500,WILLIAMSON,Hutto,NA,500,NA,NA,NA,NA,500,-94.3486592,34.5359752
Austin Regional Clinic - Kelly Lane,2100 Autumn Slate Dr Ste 150,TRAVIS,Pflugerville,NA,500,NA,NA,NA,NA,500,-94.3508129,34.5098092
Austin Regional Clinic - Kyle,4100 Everett Dr Ste 400,HAYS,Kyle,NA,300,NA,NA,NA,NA,300,-94.3524988,34.4728828
Austin Regional Clinic - Leander,901 Crystal Falls Pkwy Ste 103,WILLIAMSON,Leander,NA,500,NA,500,NA,NA,1000,-94.3532213,34.4393644
Austin Regional Clinic - Manor,11300 Us Highway 290 E Ste 230 Bldg 2,TRAVIS,Manor,NA,500,NA,NA,NA,NA,500,-94.3690392,34.4392524
Austin Regional Clinic - Pflugerville,15803 Windermere Dr Ste 103,TRAVIS,Pflugerville,NA,500,NA,NA,NA,NA,500,-94.3691998,34.4343173
Austin Regional Clinic - Quarry Lake,4515 Seton Center Pkwy Ste 220,TRAVIS,Austin,NA,500,NA,500,NA,NA,1000,-94.3699086,34.2966984
Austin Regional Clinic - Round Rock,940 Hesters Crossing Rd,WILLIAMSON,Round Rock,NA,300,NA,NA,NA,NA,300,-94.3766286,34.2963475
Austin Regional Clinic - Sendero Springs,1025 Sendero Springs Dr Ste 120,WILLIAMSON,Round Rock,NA,500,NA,NA,NA,NA,500,-94.3824138,34.2924878
Austin Regional Clinic - South,3828 S 1st St,TRAVIS,Austin,NA,300,NA,NA,NA,NA,300,-94.3976533,34.2339696
Austin State Hospital,NA,TRAVIS,Austin,975,NA,NA,NA,NA,NA,975,-94.4009368,34.2314614
"AV Rehab, LLC",2902 S. 77 Sunshine Strip,CAMERON,Harlingen,NA,100,NA,NA,NA,NA,100,-94.4067158,34.2213093
Avenue 360 Health And Wellness Humble,9816 Memorial Blvd Ste 120,HARRIS,Humble,NA,NA,NA,100,NA,NA,100,-94.4157976,34.2065762
Bacliff Community Health Center,1136 Grand Ave,GALVESTON,Bacliff,NA,NA,NA,NA,NA,100,100,-94.4292421,34.2015117
Ballinger Hospital Clinic,2001 Hutchins Ave Ste C,RUNNELS,Ballinger,NA,200,NA,NA,NA,NA,200,-94.4779844,34.2002969
Ballinger Memorial Hospital District,608 Ave B,RUNNELS,Ballinger,NA,NA,100,NA,NA,NA,100,-94.5182139,34.1588708
Bandera Family Health,7579 N Loop 1604 W Ste 100,BEXAR,San Antonio,NA,100,NA,NA,NA,NA,100,-94.5760192,34.1581176
Baptist Hospitals of Southeast Texas,3080 College St,JEFFERSON,Beaumont,975,975,100,NA,NA,NA,2050,-94.588723,34.157003
Baptist Medical Center,111 Dallas Street,BEXAR,San Antonio,975,975,NA,NA,NA,NA,1950,-94.6367581,34.1552699
Bastrop Family Practice,275 Jackson St,BASTROP,Bastrop,NA,NA,NA,NA,NA,100,100,-94.6384165,34.1531049
Bay Colony Pediatrics,2251 Fm 646 Rd W,GALVESTON,Dickinson,NA,NA,NA,100,NA,NA,100,-94.6392625,34.1530805
Baylor College Of Medicine,1 Baylor Plz Stop Bcm-667,HARRIS,Houston,NA,3000,NA,1000,NA,NA,4000,-94.6464476,34.1269334
Baylor Orthopedic And Spine Hospital At Arlington,707 Highlander Blvd,TARRANT,Arlington,NA,200,100,NA,NA,NA,300,-94.6488428,34.0901827
Baylor Scott & White Hospital - Grapevine,NA,TARRANT,Grapevine,975,NA,NA,NA,NA,NA,975,-94.6488428,34.0190559
Baylor Scott & White Medical Center - College Station,700 Scott And White Dr,BRAZOS,College Station,NA,NA,200,NA,NA,NA,200,-94.6537532,33.98516
Baylor Scott & White Medical Center - College Station,NA,BRAZOS,College Station,975,NA,NA,NA,NA,NA,975,-94.6553861,33.9841507
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,COLLIN,Plano,NA,700,100,NA,1000,975,2775,-94.6553861,33.9746171
Baylor Scott & White Medical Center Sunnyvale,231 S Collins Rd,DALLAS,Sunnyvale,NA,400,100,NA,NA,NA,500,-94.6629916,33.9644501
Baylor Scott & White Pharmacy #101,3600 Gaston Avenue,DALLAS,Dallas,NA,900,NA,NA,NA,NA,900,-94.6630784,33.9289141
Baylor Scott And White All Saints Medical Center - Fo,1400 8th Ave,TARRANT,Fort Worth,NA,NA,900,NA,NA,NA,900,-94.6638455,33.9202138
Baylor Scott And White All Saints Medical Center - Fort Worth,NA,TARRANT,Fort Worth,975,NA,NA,NA,NA,NA,975,-94.6708945,33.9136023
Baylor Scott and White Healthcare,2005 W. Wallace,SAN SABA,San Saba,NA,100,NA,NA,NA,NA,100,-94.7170021,33.9136023
BAYLOR SCOTT AND WHITE HQ,2401 S 31st Street,BELL,Temple,NA,NA,NA,1950,NA,NA,1950,-94.720801,33.9119389
Baylor Scott and White Hsptl Grapevine,1650 W College St Ste 119,TARRANT,Grapevine,NA,NA,100,NA,NA,NA,100,-94.7224176,33.9028141
Baylor Scott and White MC Mckinney,5252 W University Dr,COLLIN,McKinney,NA,800,100,NA,100,NA,1000,-94.7246001,33.9026335
Baylor Scott And White Medical Center - Centennial,12505 Lebanon Rd,COLLIN,Frisco,NA,300,100,NA,100,NA,500,-94.7274698,33.9021285
Baylor Scott And White Medical Center - Irving,NA,DALLAS,Irving,975,NA,NA,NA,NA,NA,975,-94.7295537,33.8769943
Baylor Scott And White Medical Center - Lake Pointe,6800 Scenic Dr,ROCKWALL,Rowlett,NA,700,NA,NA,NA,NA,700,-94.7299355,33.8765846
Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,ELLIS,Waxahachie,NA,700,NA,NA,NA,NA,700,-94.729937,33.8752761
Baylor Scott And White Round Rock Family Medicine,425 University Blvd Ste 500,WILLIAMSON,Round Rock,NA,500,NA,NA,NA,NA,500,-94.730216,33.8737498
Baylor Scott White Health MC Round Rock,300 University Blvd,WILLIAMSON,Round Rock,NA,NA,400,NA,NA,NA,400,-94.7302811,33.8729248
Baylor Scott White Health MC Round Rock,NA,WILLIAMSON,Round Rock,975,NA,NA,NA,NA,NA,975,-94.7304071,33.8726177
Baylor Scott White Institute Rehabilation Frisco,2990 Legacy Drive,DENTON,Frisco,NA,NA,300,NA,NA,NA,300,-94.7304434,33.8648127
Baylor Scott White Med Ctr Hillcrest,100 Hillcrest Medical Blvd,MCLENNAN,Waco,NA,NA,600,NA,NA,NA,600,-94.7304434,33.8418279
Baylor Scott White Med Ctr Hillcrest,NA,MCLENNAN,Waco,975,NA,NA,NA,NA,NA,975,-94.7310547,33.8418279
Baylor Surgicare at Blue Star LLC,3800 Gaylord Parkway,DENTON,Frisco,NA,NA,NA,NA,100,NA,100,-94.7314034,33.8155821
Baylor University Med Cntr Dallas,3500 Gaston Ave,DALLAS,Dallas,NA,NA,2975,NA,1000,4875,8850,-94.7384854,33.8143203
Baylor University Med Cntr Dallas,NA,DALLAS,Dallas,2925,NA,NA,NA,NA,NA,2925,-94.7387886,33.809133
Baylor University Student Health Services,209 Speight Ave Fl 2,MCLENNAN,Waco,NA,200,NA,100,NA,NA,300,-94.7398397,33.7776487
BaylorScottandWhiteMedicalCenter-Temple,2401 S 31st Street,BELL,Temple,3900,975,500,NA,NA,NA,5375,-94.7410526,33.7652266
Bayside Clinic,621 S. Ross Sterling,CHAMBERS,Anahuac,NA,NA,NA,NA,NA,100,100,-94.741184,33.7599797
Beaumont Elite Emergency Center LLC,4004 College Street,JEFFERSON,Beaumont,NA,NA,NA,NA,100,NA,100,-94.7421221,33.7520965
Beaumont Family Practice,6450 Folsom Dr,JEFFERSON,Beaumont,NA,500,NA,NA,NA,NA,500,-94.7482092,33.719647
Beaumont Health Department,3040 College St,JEFFERSON,Beaumont,NA,NA,100,NA,NA,NA,100,-94.7501703,33.7115026
Bell County Public Health District,509 S 9th St,BELL,Temple,NA,NA,NA,NA,3900,NA,3900,-94.752086,33.7111463
"Bellaire Dermatology Associates, PA",6565 West Loop South,HARRIS,Bellaire,NA,500,NA,300,NA,NA,800,-94.7541222,33.7101281
Bellmead Community Clinic,3400 Bellmead Dr,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100,-94.7544567,33.6877273
Bells Hill Community Clinic,911 S 20th St,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100,-94.7550836,33.6767819
Bellville Medical Center,44 N. Cummings St.,AUSTIN,Bellville,NA,NA,NA,100,100,NA,200,-94.7731229,33.6700111
BELTLINE SURGERY CENTER,2858 N. BELTLINE ROAD,DALLAS,Sunnyvale,NA,NA,NA,100,NA,NA,100,-94.7731229,33.669802
Ben Taub General Hospital,1504 Taub Loop,HARRIS,Houston,1950,975,2075,1950,300,NA,7250,-94.773173,33.6623354
BERG & MINIGUTTI PLLC,8000 ELDORADO PKWY,COLLIN,McKinney,NA,500,NA,200,NA,NA,700,-94.7743823,33.6607887
Berkeley Eye Center,3100 Weslayan,HARRIS,Houston,NA,500,NA,NA,NA,NA,500,-94.7771886,33.6606244
Best Value Hometown Pharmacy,1702 Santa Fe Dr,PARKER,Weatherford,NA,NA,NA,100,NA,NA,100,-94.781902,33.6585448
Best Value Renshaw Pharmacy,800 Medical Center Dr Ste A,WISE,Decatur,NA,NA,NA,200,NA,NA,200,-94.7843701,33.657611
Best Value Ridglea Pharmacy,5932 Lovell Ave,TARRANT,Fort Worth,NA,NA,NA,100,NA,NA,100,-94.7955386,33.6560747
Best Value Royce's Pharmacy,502 N Main St,JOHNSON,Cleburne,NA,NA,NA,100,NA,NA,100,-94.7956912,33.6558617
Best Value West Pharmacy,124 W Renfro,JOHNSON,Burleson,NA,NA,NA,100,NA,NA,100,-94.7973193,33.6521566
Big Bend Regional Health Center,2600 Highway North 118,BREWSTER,Alpine,NA,NA,NA,NA,200,NA,200,-94.797547,33.6463557
Big Spring State Hospital,1901 N Us Highway 87,HOWARD,Big Spring,NA,500,100,NA,200,NA,800,-94.799064,33.6429811
Bis Community Clinic,22140 Highway 90 N,GRIMES,Bedias,NA,NA,NA,NA,100,NA,100,-94.8010428,33.6420768
Bluitt-Flowers Clinic,303 E Overton Rd,DALLAS,Dallas,NA,NA,NA,NA,200,NA,200,-94.8038761,33.6411989
Bowen Pediatrics,810 E Redd Rd Ste D,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200,-94.8045927,33.6372856
Brady Medical Clinic,2010 Nine Rd,MCCULLOCH,Brady,NA,NA,NA,200,NA,NA,200,-94.806049,33.6253892
Brazoria County Health Department,434 E Mulberry St,BRAZORIA,Angleton,NA,NA,NA,100,NA,700,800,-94.8083286,33.6250472
Brazoria County Health Department-Lake Jackson,202 Peach St,BRAZORIA,Lake Jackson,NA,NA,NA,100,NA,300,400,-94.8238749,33.617132
BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,BRAZORIA,Alvin,NA,300,NA,NA,NA,700,1000,-94.8265473,33.60984
"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,BRAZORIA,Pearland,NA,NA,NA,NA,NA,300,300,-94.8285669,33.6074483
Brazos County Health And Wellness,300 E Wm J Bryan Pkwy Ste 200,BRAZOS,Bryan,NA,NA,NA,100,NA,NA,100,-94.8491468,33.6027879
Breckenridge Medical Center,101 S. Hartford,STEPHENS,Breckenridge,NA,NA,NA,100,NA,NA,100,-94.8539676,33.6026591
Brenham Drug Partners,2105 S Day Street,WASHINGTON,Brenham,NA,NA,NA,100,NA,NA,100,-94.86357,33.5991367
Briggs Family Medicine,910 Gruene Rd,COMAL,New Braunfels,NA,100,NA,NA,NA,NA,100,-94.8687973,33.592158
Brookshire's Pharmacy #019,1105 W South Commerce St,VAN ZANDT,Wills Point,NA,100,NA,NA,NA,NA,100,-94.8910695,33.5916902
Brookshire's Pharmacy 008,747 Us Highway 259 N,GREGG,Kilgore,NA,100,NA,NA,NA,NA,100,-94.9294942,33.5902546
Brookshire's Pharmacy 011,807 E Tyler St,HENDERSON,Athens,NA,100,NA,NA,NA,NA,100,-94.9295754,33.5901444
Brookshire's Pharmacy 013,809 Gilmer Rd.,HOPKINS,Sulphur Springs,NA,100,NA,100,NA,NA,200,-94.9346872,33.5901444
Brookshire's Pharmacy 015,1478 N Beaulah St,WOOD,Hawkins,NA,100,NA,100,NA,NA,200,-94.9396152,33.5897939
Brookshire's Pharmacy 9,2020 Roseland Blvd,SMITH,Tyler,NA,100,NA,NA,NA,NA,100,-94.9449646,33.5897145
Brookshire Brothers Pharmacy #64,34692 Us Highway 96 S,JASPER,Buna,NA,100,NA,NA,NA,NA,100,-94.947701,33.5885517
Brookshire Brothers Pharmacy #9,5249 Franz Rd,HARRIS,Katy,NA,500,NA,NA,NA,NA,500,-94.9495383,33.5880703
Brookshires Pharmacy 002,706 W Main St,VAN ZANDT,Van,NA,100,NA,NA,NA,NA,100,-94.9594413,33.5880703
Brookshires Pharmacy 005,1203 Us Highway 380,WISE,Bridgeport,NA,100,NA,100,NA,NA,200,-94.9692243,33.5880569
Brookshires Pharmacy 014,925 Clarksville St,LAMAR,Paris,NA,100,NA,100,NA,NA,200,-94.9700768,33.5845777
Brookshires Pharmacy 023,1400 W. Moore St.,KAUFMAN,Terrell,NA,100,NA,100,NA,NA,200,-94.9715384,33.5790961
Brookshires Pharmacy 028,2734 E 5th St,SMITH,Tyler,NA,100,NA,NA,NA,NA,100,-94.9717413,33.5790961
Brookshires Pharmacy 030,2107 S Loop 256,ANDERSON,Palestine,NA,100,NA,NA,NA,NA,100,-94.973245,33.5782195
Brookshires Pharmacy 031,1224 N Pacific St,WOOD,Mineola,NA,100,NA,100,NA,NA,200,-94.977466,33.5771065
Brookshires Pharmacy 032,880 E State Highway 243,VAN ZANDT,Canton,NA,100,NA,NA,NA,NA,100,-94.9793033,33.5768167
Brookshires Pharmacy 033,205 W Frank St,VAN ZANDT,Grand Saline,NA,100,NA,NA,NA,NA,100,-94.9796029,33.5763259
Brookshires Pharmacy 035,2235 S Washington St,KAUFMAN,Kaufman,NA,100,NA,100,NA,NA,200,-94.9800503,33.5753531
Brookshires Pharmacy 036,1310 N Brazos St,HILL,Whitney,NA,100,NA,100,NA,NA,200,-94.9811716,33.5738671
Brookshires Pharmacy 039,20100 Hwy. 155 S.,SMITH,Flint,NA,100,NA,NA,NA,NA,100,-94.9819163,33.5727585
Brookshires Pharmacy 064,1200 S 3rd St,HENDERSON,Mabank,NA,200,NA,100,NA,NA,300,-94.9834166,33.5716546
Brookshires Pharmacy 1,301 S Chestnut St,ANGELINA,Lufkin,NA,500,NA,NA,NA,NA,500,-94.9858118,33.5714491
Brookshires Pharmacy 10,300 W Us Highway 84,FREESTONE,Fairfield,NA,400,NA,NA,NA,NA,400,-94.9942172,33.5573724
Brookshires Pharmacy 100,9295 Hwy 6,BOSQUE,Meridian,NA,100,NA,100,NA,NA,200,-94.9944608,33.556523
Brookshires Pharmacy 1001,202 N Main St,HARDIN,Lumberton,NA,400,NA,NA,NA,NA,400,-95.0147287,33.5504057
Brookshires Pharmacy 1002,204 Broadway,CHAMBERS,Winnie,NA,200,NA,NA,NA,NA,200,-95.0170814,33.5492157
Brookshires Pharmacy 1004,210 N Main St,BRAZOS,Bryan,NA,500,NA,NA,NA,NA,500,-95.0170814,33.5480506
Brookshires Pharmacy 1005,810 S State St,MADISON,Madisonville,NA,100,NA,NA,NA,NA,100,-95.0170814,33.5475896
Brookshires Pharmacy 1007,31303 Fm 2920 Rd Ste H,HARRIS,Waller,NA,300,NA,NA,NA,NA,300,-95.0393787,33.5255094
Brookshires Pharmacy 1020,2075 Worth St,SABINE,Hemphill,NA,500,NA,NA,NA,NA,500,-95.0538,33.5243191
Brookshires Pharmacy 106,125 Hall Rd,DALLAS,Seagoville,NA,100,NA,NA,NA,NA,100,-95.0625526,33.5205166
Brookshires Pharmacy 108,Po Box 1709,ELLIS,Red Oak,NA,100,NA,100,NA,NA,200,-95.0629729,33.5201759
Brookshires Pharmacy 109,609 Linda Dr,MORRIS,Daingerfield,NA,100,NA,100,NA,NA,200,-95.0733704,33.5201123
Brookshires Pharmacy 109 - Pilot Point,750 S Highway 377,DENTON,Pilot Point,NA,200,NA,100,NA,NA,300,-95.0782919,33.519259
Brookshires Pharmacy 11 - Brenham,303 N Austin Pkwy,WASHINGTON,Brenham,NA,300,NA,100,NA,NA,400,-95.082441,33.5184611
Brookshires Pharmacy 112,1111 N Hwy 287,HOUSTON,Grapeland,NA,200,NA,NA,NA,NA,200,-95.0839275,33.5065532
Brookshires Pharmacy 117,501 E Broadway St,NOLAN,Sweetwater,NA,100,NA,200,NA,NA,300,-95.085492,33.5042125
Brookshires Pharmacy 119,601 Palo Pinto St,PARKER,Weatherford,NA,100,NA,NA,NA,NA,100,-95.0862056,33.5042125
